facility,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V11) (506GB) Flint,,"1,115","1,087",,,97.49%,28,2.51%,951,,60,76,25,2,1,0,5,2.70,4,
(V11) (506GC) Jackson,,"1,079","1,074",,,99.54%,5,0.46%,955,,87,32,4,1,0,0,2,1,4,
"(V11) (515) Battle Creek, MI",,"22,602","22,253",,,98.46%,349,1.54%,"19,311",,"1,458","1,484",324,23,2,0,2,5,3,
(V11) (515) Battle Creek VAMC,,"9,882","9,769",,,98.86%,113,1.14%,"8,505",,631,633,113,0,0,0,2.20,4,2,
"(V11) (515BU) Battle Creek
Domiciliary",,126,126,,,100.00%,0,0.00%,109,,16,1,0,0,0,0,,,,
(V11) (515BY) Wyoming,,"8,864","8,639",,,97.46%,225,2.54%,"7,305",,629,705,200,23,2,0,2,5,6,
(V11) (515GA) Muskegon,,"1,296","1,294",,,99.85%,2,0.15%,"1,255",,29,10,2,0,0,0,1,1,1,
(V11) (515GB) Lansing South,,"1,471","1,463",,,99.46%,8,0.54%,"1,214",,124,125,8,0,0,0,4,1,4.90,
(V11) (515GC) Benton Harbor,,962,961,,,99.90%,1,0.10%,922,,29,10,1,0,0,0,1.00,2,1,
(V11) (515PA) Battle Creek PRRTP,,1,1,,,100.00%,0,0.00%,1,,0,0,0,0,0,0,,,,
"(V11) (550) Danville, IL",,"17,940","17,511",,,97.61%,429,2.39%,"16,094",,656,761,329,75,23,2,2,6,2,
(V11) (550) Danville VAMC,,"9,589","9,463",,,98.69%,126,1.31%,"8,765",,305,393,121,5,0,0,0,4.20,0,
(V11) (550BY) Bob Michel VA OPC,,"4,213","3,966",,,94.14%,247,5.86%,"3,496",,219,251,179,44,23,1,3,10,7,
(V11) (550GA) Decatur,,"1,290","1,237",,,95.89%,53,4.11%,"1,161",,30,46,27,26,0,0,2,10,2,
(V11) (550GC) Lafayette,,839,839,,,100.00%,0,0.00%,784,,35,20,0,0,0,0,2,0,1.50,
(V11) (550GD) Springfield,,"1,472","1,470",,,99.86%,2,0.14%,"1,375",,51,44,2,0,0,0,2,2,1,
(V11) (550GF) Charleston,,537,536,,,99.81%,1,0.19%,513,,16,7,0,0,0,1,1.00,3,1,
"(V11) (553) Detroit, MI",,"26,348","25,270",,,95.91%,"1,078",4.09%,"21,956",,"1,533","1,781",770,165,56,87,7,6,1,
(V11) (553) John D Dingell VAMC,,"24,429","23,360",,,95.62%,"1,069",4.38%,"20,311",,"1,389","1,660",761,165,56,87,8,6,1,
(V11) (553GA) Yale,,818,814,,,99.51%,4,0.49%,733,,49,32,4,0,0,0,2,,0.00,
(V11) (553GB) Pontiac,,"1,062","1,057",,,99.53%,5,0.47%,873,,95,89,5,0,0,0,5,4,2,
(V11) (553QA) Piquette Street,,39,39,,,100.00%,0,0.00%,39,,0,0,0,0,0,0,0.00,,0.00,
"(V11) (583) Indianapolis, IN",,"38,414","37,178",,,96.78%,"1,236",3.22%,"33,401",,"1,659","2,118","1,004",194,29,9,2.10,5,4,
"(V11) (583) Richard L Roudebush
VAMC",,"34,539","33,328",,,96.49%,"1,211",3.51%,"29,736",,"1,530","2,062",991,183,28,9,3,5,4.40,
(V11) (583GA) Terre Haute,,"1,385","1,379",,,99.57%,6,0.43%,"1,314",,43,22,5,1,0,0,0,3,3,
(V11) (583GB) Bloomington,,"1,268","1,262",,,99.53%,6,0.47%,"1,202",,42,18,3,2,1,0,0,2,2,
(V11) (583GC) Martinsville,,671,671,,,100.00%,0,0.00%,664,,7,0,0,0,0,0,0,0,0,
(V11) (583GF) Wakeman,,551,538,,,97.64%,13,2.36%,485,,37,16,5,8,0,0,2,2,12,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2016",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
"(V11) (610) Northern Indiana HCS, IN",,"26,350","25,284",,,95.95%,"1,066",4.05%,"22,482",,"1,277","1,525",715,320,14,17,5,10,1,
(V11) (610) Marion VAMC,,"6,986","6,765",,,96.84%,221,3.16%,"6,054",,330,381,203,14,3,1,5,9,1,
(V11) (610A4) Fort Wayne VAMC,,"10,884","10,166",,,93.40%,718,6.60%,"8,617",,673,876,434,258,10,16,6,11,1,
(V11) (610BU) Marion VADOM,,30,30,,,100.00%,0,0.00%,30,,0,0,0,0,0,0,,,,
(V11) (610GA) South Bend,,"2,160","2,154",,,99.72%,6,0.28%,"2,003",,94,57,6,0,0,0,2.20,1,1,
(V11) (610GB) Muncie,,"1,652","1,616",,,97.82%,36,2.18%,"1,413",,80,123,29,7,0,0,5,3.20,4,
(V11) (610GC) Goshen,,981,978,,,99.69%,3,0.31%,943,,21,14,2,1,0,0,1,7,2,
(V11) (610GD) Peru,,801,726,,,90.64%,75,9.36%,655,,25,46,37,37,1,0,12,7,1,
(V11) (610QA) Fort Wayne VA Clinic,,"2,401","2,394",,,99.71%,7,0.29%,"2,312",,54,28,4,3,0,0,,,2,
(V11) (610QB) Columbia Place,,455,455,,,100.00%,0,0.00%,455,,0,0,0,0,0,0,,,0.00,
"(V11) (655) Saginaw, MI",,"20,160","19,642",,,97.43%,518,2.57%,"17,762",,859,"1,021",378,72,27,41,2.20,6,2,
(V11) (655) Aleda E Lutz VAMC,,"13,398","12,961",,,96.74%,437,3.26%,"11,759",,509,693,303,70,25,39,2,6.40,2,
(V11) (655GA) Gaylord,,931,923,,,99.14%,8,0.86%,887,,19,17,7,1,0,0,1,6,1,
(V11) (655GB) Traverse City,,708,699,,,98.73%,9,1.27%,586,,56,57,9,0,0,0,3.20,0,1,
(V11) (655GC) Oscoda,,561,544,,,96.97%,17,3.03%,476,,32,36,16,1,0,0,2,9,1.80,
"(V11) (655GD) Lt Col Clement Van
Wagoner VA Clinic",,713,706,,,99.02%,7,0.98%,627,,41,38,5,0,0,2,2,3,4,
(V11) (655GE) Clare,,"1,047","1,047",,,100.00%,0,0.00%,907,,71,69,0,0,0,0,2,2,2.70,
(V11) (655GF) Bad Axe,,582,580,,,99.66%,2,0.34%,568,,6,6,2,0,0,0,1,1,1,
(V11) (655GG) Cadillac,,867,849,,,97.92%,18,2.08%,762,,55,32,17,0,1,0,3,2,3,
(V11) (655GH) Cheboygan,,433,433,,,100.00%,0,0.00%,416,,12,5,0,0,0,0,1,2,0,
(V11) (655GI) Grayling,,457,450,,,98.47%,7,1.53%,381,,40,29,7,0,0,0,4,2.40,3,
(V11) (655QB) Grand Traverse,,463,450,,,97.19%,13,2.81%,393,,18,39,12,0,1,0,,5,4,
"(V12) (537) Jesse Brown VAMC (Chicago), IL",,"33,857","32,860",,,97.06%,997,2.94%,"29,426",,"1,584","1,850",663,246,54,34,4,7,2,
(V12) (537) Jesse Brown VAMC,,"26,019","25,309",,,97.27%,710,2.73%,"22,724",,"1,104","1,481",454,171,53,32,4.50,6,2,
"(V12) (537BY) Adam Benjamin Jr VA
OPC",,"5,742","5,459",,,95.07%,283,4.93%,"4,844",,347,268,207,73,1,2,3,13,2,
(V12) (537GA) Chicago Heights,,540,538,,,99.63%,2,0.37%,485,,30,23,1,1,0,0,2,0.00,3,
(V12) (537GD) Lakeside,,"1,142","1,141",,,99.91%,1,0.09%,"1,007",,68,66,1,0,0,0,3.20,,1,
(V12) (537HA) Auburn Gresham,,414,413,,,99.76%,1,0.24%,366,,35,12,0,1,0,0,3,0.00,2,
(V12) (556) Captain James A Lovell FHCC,,"25,923","25,889",,,99.87%,34,0.13%,"24,387",,978,524,23,10,1,0,2,2,1,
"(V12) (556) Captain James A Lovell
FHCC",,"22,641","22,611",,,99.87%,30,0.13%,"21,307",,840,464,19,10,1,0,2,2,1,
(V12) (556GA) Evanston,,582,582,,,100.00%,0,0.00%,556,,15,11,0,0,0,0,1,5,1,
(V12) (556GC) McHenry,,"1,813","1,813",,,100.00%,0,0.00%,"1,727",,67,19,0,0,0,0,2,4,2,
(V12) (556GD) Kenosha,,887,883,,,99.55%,4,0.45%,797,,56,30,4,0,0,0,3,1.80,3.00,
"(V12) (578) Hines, IL",,"42,321","40,632",,,96.01%,"1,689",3.99%,"35,800",,"2,124","2,708","1,274",295,92,28,4,7,2.70,
"(V12) (578) Edward Hines Junior
Hospital",,"33,011","31,548",,,95.57%,"1,463",4.43%,"27,809",,"1,577","2,162","1,071",277,88,27,5.10,7,2,
(V12) (578GA) Joliet,,"3,436","3,329",,,96.89%,107,3.11%,"2,829",,244,256,99,5,2,1,2,7,3,
(V12) (578GC) Kankakee County,,"1,040","1,013",,,97.40%,27,2.60%,908,,59,46,24,3,0,0,2,5,3,
(V12) (578GD) Aurora,,"1,338","1,325",,,99.03%,13,0.97%,"1,226",,60,39,11,1,1,0,1,4,2,
(V12) (578GE) Hoffman Estates,,"1,046","1,021",,,97.61%,25,2.39%,913,,59,49,18,6,1,0,2,18.00,4,
(V12) (578GF) LaSalle,,"1,186","1,163",,,98.06%,23,1.94%,"1,095",,35,33,23,0,0,0,1,5.30,2,
(V12) (578GG) Oak Lawn,,"1,264","1,233",,,97.55%,31,2.45%,"1,020",,90,123,28,3,0,0,4,5,5,
"(V12) (585) Iron Mountain, MI",,"10,013","9,815",,,98.02%,198,1.98%,"8,681",,590,544,168,25,4,1,3,5,2,
(V12) (585) Oscar G Johnson VAMC,,"6,479","6,315",,,97.47%,164,2.53%,"5,387",,445,483,143,16,4,1,6,5,2,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2016",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V12) (585GA) Hancock,,438,433,,,98.86%,5,1.14%,404,,22,7,3,2,0,0,2,7,2,
(V12) (585GB) Rhinelander,,"1,025","1,013",,,98.83%,12,1.17%,954,,46,13,9,3,0,0,2,3,2,
(V12) (585GC) Menominee,,496,492,,,99.19%,4,0.81%,474,,9,9,3,1,0,0,1,7,1,
(V12) (585GD) Ironwood,,279,278,,,99.64%,1,0.36%,274,,0,4,0,1,0,0,1,3,1,
(V12) (585HA) Marquette MI,,878,870,,,99.09%,8,0.91%,803,,48,19,8,0,0,0,2,4,2,
(V12) (585HB) Sault Saint Marie,,418,414,,,99.04%,4,0.96%,385,,20,9,2,2,0,0,1,9,2,
"(V12) (607) Madison, WI",,"23,494","22,581",,,96.11%,913,3.89%,"19,539",,"1,381","1,661",696,173,37,7,4,8,1,
"(V12) (607) William S. Middleton
Memorial Veterans Hospital",,"17,257","16,408",,,95.08%,849,4.92%,"13,925",,"1,066","1,417",634,172,37,6,5,8,1,
(V12) (607GC) Janesville,,994,982,,,98.79%,12,1.21%,877,,64,41,12,0,0,0,5,2,1,
(V12) (607GD) Baraboo,,530,528,,,99.62%,2,0.38%,488,,27,13,2,0,0,0,2,1,0.00,
(V12) (607GE) Beaver Dam,,723,717,,,99.17%,6,0.83%,671,,25,21,6,0,0,0,3,0,0,
(V12) (607GF) Freeport,,431,428,,,99.30%,3,0.70%,406,,12,10,3,0,0,0,2,0,1,
(V12) (607HA) Rockford,,"3,559","3,518",,,98.85%,41,1.15%,"3,172",,187,159,39,1,0,1,3,5,1,
"(V12) (676) Tomah, WI",,"14,614","14,412",,,98.62%,202,1.38%,"13,279",,575,558,158,33,11,0,2,5,2,
(V12) (676) Tomah VAMC,,"9,147","9,014",,,98.55%,133,1.45%,"8,481",,288,245,103,20,10,0,1.60,5,1,
(V12) (676GA) Wausau,,"1,460","1,438",,,98.49%,22,1.51%,"1,234",,95,109,11,11,0,0,4,0.10,5,
(V12) (676GC) River Valley,,"1,876","1,874",,,99.89%,2,0.11%,"1,729",,76,69,2,0,0,0,2.40,1.70,1,
(V12) (676GD) Wisconsin Rapids,,"1,890","1,846",,,97.67%,44,2.33%,"1,599",,114,133,41,2,1,0,2,7,4,
(V12) (676GE) Clark County,,241,240,,,99.59%,1,0.41%,236,,2,2,1,0,0,0,1,0.00,0,
"(V12) (695) Milwaukee, WI",,"52,721","51,333",,,97.37%,"1,388",2.63%,"45,544",,"2,755","3,034","1,140",195,34,19,5,5,3,
"(V12) (695) Clement J Zablocki
VAMC",,"34,952","34,157",,,97.73%,795,2.27%,"30,569",,"1,711","1,877",629,129,23,14,3,5,1,
(V12) (695BU) VADOM Milwaukee,,137,136,,,99.27%,1,0.73%,131,,3,2,1,0,0,0,,,,
(V12) (695BY) Appleton,,"6,116","5,779",,,94.49%,337,5.51%,"4,996",,328,455,304,24,5,4,8,5,8,
(V12) (695GA) Union Grove WI,,"1,076","1,073",,,99.72%,3,0.28%,"1,007",,52,14,2,1,0,0,2,,1,
(V12) (695GC) Cleveland,,"1,145","1,127",,,98.43%,18,1.57%,998,,56,73,15,2,1,0,4,23.50,5,
"(V12) (695GD) Milo C Huempfner VA
OPC",,"9,130","8,896",,,97.44%,234,2.56%,"7,678",,605,613,189,39,5,1,5,5,6,
(V12) (695QA) Milwaukee VA Clinic,,165,165,,,100.00%,0,0.00%,165,,0,0,0,0,0,0,,,,
"(V15) (589) Columbia, MO",,"21,180","20,432",,,96.47%,748,3.53%,"17,847",,"1,420","1,165",586,113,29,20,2,8,3,
"(V15) (589A4) Harry S. Truman
VAMC",,"15,766","15,051",,,95.46%,715,4.54%,"12,975",,"1,072","1,004",577,102,16,20,3,8,4,
"(V15) (589G8) Jefferson City, MO",,"1,185","1,157",,,97.64%,28,2.36%,"1,004",,104,49,5,11,12,0,1,10,1,
(V15) (589GE) Kirksville,,452,452,,,100.00%,0,0.00%,409,,23,20,0,0,0,0,2,0.00,0,
"(V15) (589GF) Fort Leonard Wood
VA Clinic",,"1,192","1,190",,,99.83%,2,0.17%,"1,030",,120,40,2,0,0,0,1,4,1,
(V15) (589GH) Lake of the Ozarks,,571,569,,,99.65%,2,0.35%,533,,27,9,1,0,1,0,1,0.00,2,
(V15) (589GX) Mexico,,377,377,,,100.00%,0,0.00%,332,,39,6,0,0,0,0,3,0.00,0.00,
(V15) (589GY) St. James,,438,437,,,99.77%,1,0.23%,424,,5,8,1,0,0,0,1,0.00,1,
(V15) (589JA) Sedalia,,636,636,,,100.00%,0,0.00%,625,,5,6,0,0,0,0,0.40,0.00,0,
(V15) (589JD) Marshfield,,562,562,,,100.00%,0,0.00%,514,,25,23,0,0,0,0,2,1,4,
"(V15) (589ME) IDES Fort Leonard
Wood",,1,1,,,100.00%,0,0.00%,1,,0,0,0,0,0,0,,0.00,,
"(V15) (589) Kansas City, MO",,"27,126","26,793",,,98.77%,333,1.23%,"24,068",,"1,346","1,379",254,67,6,6,2,3,3,
(V15) (589) Kansas City VAMC,,"24,459","24,126",,,98.64%,333,1.36%,"21,508",,"1,271","1,347",254,67,6,6,3,3,3.00,
(V15) (589G1) Warrensburg,,918,918,,,100.00%,0,0.00%,875,,30,13,0,0,0,0,2,1,1.00,
(V15) (589GB) Belton,,352,352,,,100.00%,0,0.00%,349,,3,0,0,0,0,0,0,,0.00,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2016",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V15) (589GC) Paola,,271,271,,,100.00%,0,0.00%,269,,1,1,0,0,0,0,0,,1,
(V15) (589GD) Nevada,,428,428,,,100.00%,0,0.00%,396,,26,6,0,0,0,0,2,0.00,0.40,
(V15) (589GZ) Cameron,,164,164,,,100.00%,0,0.00%,163,,1,0,0,0,0,0,1,,0.00,
"(V15) (589HK) Kansas City VA
Mobile Clinic",,81,81,,,100.00%,0,0.00%,80,,0,1,0,0,0,0,0.40,,,
(V15) (589JB) Excelsior Springs,,443,443,,,100.00%,0,0.00%,418,,14,11,0,0,0,0,1.80,0,1,
(V15) (589MC) IDES Whiteman AFB,,10,10,,,100.00%,0,0.00%,10,,0,0,0,0,0,0,,0.00,0.00,
"(V15) (589) Eastern KS HCS, KS",,"25,455","24,785",,,97.37%,670,2.63%,"23,083",,804,898,562,84,16,8,4,5,1,
(V15) (589A5) Colmery-O'Neil VAMC,,"12,318","12,012",,,97.52%,306,2.48%,"11,143",,406,463,253,40,7,6,4,4,1.00,
"(V15) (589A6) Dwight D. Eisenhower
VAMC",,"9,253","8,938",,,96.60%,315,3.40%,"8,277",,317,344,264,41,9,1,4,7,1,
(V15) (589BU) Leavenworth DCHV,,"1,239","1,239",,,100.00%,0,0.00%,"1,230",,7,2,0,0,0,0,,0.00,1,
(V15) (589G9) Ft. Riley,,34,34,,,100.00%,0,0.00%,34,,0,0,0,0,0,0,,0.00,0.00,
(V15) (589GI) St. Joseph,,947,942,,,99.47%,5,0.53%,892,,26,24,5,0,0,0,1,2,2,
(V15) (589GJ) Wyandotte County,,311,310,,,99.68%,1,0.32%,301,,3,6,1,0,0,0,2,,0,
(V15) (589GM) Chanute,,83,57,,,68.67%,26,31.33%,42,,6,9,26,0,0,0,19,,3,
(V15) (589GN) Emporia,,67,66,,,98.51%,1,1.49%,56,,5,5,0,1,0,0,3,,8,
(V15) (589GP) Garnett,,34,34,,,100.00%,0,0.00%,32,,1,1,0,0,0,0,1,,4,
(V15) (589GR) Junction City,,496,485,,,97.78%,11,2.22%,455,,13,17,10,1,0,0,0,0.00,7,
(V15) (589GU) Lawrence,,186,186,,,100.00%,0,0.00%,185,,0,1,0,0,0,0,0,,0,
(V15) (589GV) Ft. Scott,,224,220,,,98.21%,4,1.79%,178,,19,23,2,1,0,1,9,0.00,6,
(V15) (589JE) Platte City,,80,79,,,98.75%,1,1.25%,75,,1,3,1,0,0,0,3,,0.00,
(V15) (589MA) Ft. Riley DES Clinic,,161,161,,,100.00%,0,0.00%,161,,0,0,0,0,0,0,,0.00,0.00,
"(V15) (589MD) IDES Fort
Leavenworth",,22,22,,,100.00%,0,0.00%,22,,0,0,0,0,0,0,,0.00,,
"(V15) (589) Wichita, KS",,"16,486","16,121",,,97.79%,365,2.21%,"14,778",,692,651,268,66,25,6,2,6,0,
(V15) (589A7) Robert J. Dole VAMC,,"14,310","13,946",,,97.46%,364,2.54%,"12,676",,637,633,267,66,25,6,2,6,1,
(V15) (589G2) Dodge City,,278,278,,,100.00%,0,0.00%,276,,1,1,0,0,0,0,1,1,0,
(V15) (589G3) Liberal,,57,57,,,100.00%,0,0.00%,57,,0,0,0,0,0,0,0,0.00,0.00,
(V15) (589G4) Hays,,338,338,,,100.00%,0,0.00%,307,,23,8,0,0,0,0,2,0,0.00,
(V15) (589G5) Parsons,,313,313,,,100.00%,0,0.00%,305,,8,0,0,0,0,0,2,0,0.00,
(V15) (589G7) Hutchinson,,453,453,,,100.00%,0,0.00%,433,,15,5,0,0,0,0,2,0,0.00,
(V15) (589GW) Salina,,726,725,,,99.86%,1,0.14%,713,,8,4,1,0,0,0,1,0.00,0,
(V15) (589MB) IDES McConnel AFB,,11,11,,,100.00%,0,0.00%,11,,0,0,0,0,0,0,,0.00,0.00,
"(V15) (657) Marion, IL",,"21,393","20,720",,,96.85%,673,3.15%,"17,392",,"1,569","1,759",478,173,21,1,6,6,2.90,
(V15) (657A5) Marion VAMC,,"9,880","9,705",,,98.23%,175,1.77%,"8,332",,640,733,154,16,4,1,5,6,2,
(V15) (657GJ) Evansville,,"6,180","5,818",,,94.14%,362,5.86%,"4,499",,541,778,225,121,16,0,11,8,4,
(V15) (657GK) Mt. Vernon,,513,439,,,85.58%,74,14.42%,381,,21,37,48,25,1,0,20,1.00,1,
(V15) (657GL) Paducah,,"1,206","1,191",,,98.76%,15,1.24%,"1,025",,105,61,9,6,0,0,3,3.10,5,
(V15) (657GM) Effingham,,638,638,,,100.00%,0,0.00%,573,,47,18,0,0,0,0,2,1,3,
(V15) (657GO) Hanson,,186,185,,,99.46%,1,0.54%,151,,26,8,1,0,0,0,5,6.00,0,
(V15) (657GP) Owensboro,,978,971,,,99.28%,7,0.72%,884,,45,42,7,0,0,0,3,2,1,
(V15) (657GQ) Vincennes,,433,398,,,91.92%,35,8.08%,320,,34,44,30,5,0,0,12,11,2,
(V15) (657GR) Mayfield,,470,469,,,99.79%,1,0.21%,412,,43,14,1,0,0,0,3,5,2.40,
(V15) (657GT) Carbondale,,565,564,,,99.82%,1,0.18%,533,,20,11,1,0,0,0,2,0,2,
(V15) (657GU) Harrisburg,,344,342,,,99.42%,2,0.58%,282,,47,13,2,0,0,0,4,7,0,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2016",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
"(V15) (657) Poplar Bluff, MO",,"12,222","12,048",,,98.58%,174,1.42%,"10,796",,582,670,133,38,1,2,3,6,4,
"(V15) (657A4) John J. Pershing
VAMC",,"7,156","7,012",,,97.99%,144,2.01%,"6,144",,369,499,109,33,1,1,4,6.60,5,
(V15) (657GF) West Plains,,"1,262","1,259",,,99.76%,3,0.24%,"1,120",,65,74,3,0,0,0,3,4.90,2,
(V15) (657GG) Paragould,,878,877,,,99.89%,1,0.11%,824,,35,18,1,0,0,0,2,6,1,
(V15) (657GH) Cape Girardeau,,"1,172","1,156",,,98.63%,16,1.37%,"1,099",,32,25,14,2,0,0,1,5,5,
(V15) (657GI) Farmington,,"1,200","1,191",,,99.25%,9,0.75%,"1,093",,62,36,6,3,0,0,2,7,3,
(V15) (657GN) Salem,,3,3,,,100.00%,0,0.00%,3,,0,0,0,0,0,0,0.00,,,
(V15) (657GV) Sikeston,,551,550,,,99.82%,1,0.18%,513,,19,18,0,0,0,1,2,2,3,
"(V15) (657) St. Louis, MO",,"37,131","35,779",,,96.36%,"1,352",3.64%,"29,965",,"3,052","2,762",897,330,69,56,6,7.80,3,
(V15) (657) John J. Cochran VAMC,,"23,260","22,423",,,96.40%,837,3.60%,"18,639",,"1,971","1,813",528,221,46,42,6,7,3,
(V15) (657A0) St Louis-Jeff Bks.,,"10,802","10,380",,,96.09%,422,3.91%,"8,986",,794,600,277,108,23,14,6,9,3,
(V15) (657GA) Belleville,,771,692,,,89.75%,79,10.25%,443,,93,156,78,1,0,0,13,3.80,2,
(V15) (657GB) St. Louis County,,898,894,,,99.55%,4,0.45%,745,,106,43,4,0,0,0,4,7,1.50,
(V15) (657GD) St. Charles,,967,958,,,99.07%,9,0.93%,761,,65,132,9,0,0,0,5,10,3,
(V15) (657GS) Washington,,401,400,,,99.75%,1,0.25%,359,,23,18,1,0,0,0,3,2,0,
(V15) (657MA) IDES Scott AFB,,32,32,,,100.00%,0,0.00%,32,,0,0,0,0,0,0,,0.00,0.00,
"(V16) (502) Alexandria, LA",,"16,851","16,164",,,95.92%,687,4.08%,"14,130",,"1,025","1,009",452,130,33,72,8,6,6,
(V16) (502) Alexandria VAMC,,"11,460","11,020",,,96.16%,440,3.84%,"10,014",,501,505,268,83,23,66,9,7,3,
(V16) (502GA) Jennings,,738,710,,,96.21%,28,3.79%,631,,35,44,23,5,0,0,1,0.00,10,
(V16) (502GB) Lafayette,,"2,808","2,640",,,94.02%,168,5.98%,"1,960",,341,339,125,30,9,4,10,3,7,
(V16) (502GE) Lake Charles,,343,328,,,95.63%,15,4.37%,234,,51,43,7,5,1,2,9,0.00,,
(V16) (502GF) Fort Polk,,"1,034","1,003",,,97.00%,31,3.00%,845,,81,77,29,2,0,0,3,0.00,9,
(V16) (502GG) Natchitoches,,417,412,,,98.80%,5,1.20%,395,,16,1,0,5,0,0,2,0.00,3,
(V16) (502QB) Lafayette Campus B,,51,51,,,100.00%,0,0.00%,51,,0,0,0,0,0,0,,,1.50,
"(V16) (520) Gulf Coast HCS, MS",,"44,638","43,338",,,97.09%,"1,300",2.91%,"38,793",,"2,335","2,210",906,212,83,99,6,4,6,
(V16) (520) Biloxi VAMC,,"21,659","21,291",,,98.30%,368,1.70%,"19,624",,932,735,278,57,23,10,5,3,6,
(V16) (520BZ) Pensacola,,"13,456","12,772",,,94.92%,684,5.08%,"10,886",,884,"1,002",496,102,44,42,7,7,5,
(V16) (520GA) Mobile,,"4,707","4,669",,,99.19%,38,0.81%,"4,267",,236,166,23,7,4,4,3,4,2,
(V16) (520GB) Panama City Beach,,"2,201","2,146",,,97.50%,55,2.50%,"1,842",,148,156,51,4,0,0,8,1,3,
(V16) (520GC) Eglin AFB,,"2,615","2,460",,,94.07%,155,5.93%,"2,174",,135,151,58,42,12,43,5.60,4,26,
"(V16) (564) Fayetteville, AR",,"28,314","27,933",,,98.65%,381,1.35%,"25,711",,"1,195","1,027",327,44,6,4,1.30,4,1,
(V16) (564) Fayetteville VAMC,,"15,662","15,352",,,98.02%,310,1.98%,"13,772",,790,790,261,41,6,2,2,5,1,
(V16) (564BY) Gene Taylor,,"6,044","5,988",,,99.07%,56,0.93%,"5,567",,258,163,55,1,0,0,1,3.60,1,
(V16) (564GA) Harrison,,274,271,,,98.91%,3,1.09%,253,,14,4,1,0,0,2,2,0.00,2,
(V16) (564GB) Fort Smith,,"2,924","2,916",,,99.73%,8,0.27%,"2,775",,88,53,8,0,0,0,1,5,0.60,
(V16) (564GC) Branson,,"2,538","2,535",,,99.88%,3,0.12%,"2,494",,28,13,1,2,0,0,1,0,1,
(V16) (564GD) Ozark,,298,297,,,99.66%,1,0.34%,291,,4,2,1,0,0,0,1,2,0,
(V16) (564GE) Jay,,574,574,,,100.00%,0,0.00%,559,,13,2,0,0,0,0,1,0.00,1,
"(V16) (580) Houston, TX",,"72,102","71,204",,,98.75%,898,1.25%,"64,637",,"3,312","3,255",720,138,18,22,4,3,2,
