facility,Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(5V20) (668HK) Spokane, WA -
Mobile",31,30,96.77%,1,3.23%,20,10,0,1,0,0,0,5.32,,,,,
"(5V20) (668QB) Libby, MT",150,150,100.00%,0,0.00%,145,1,4,0,0,0,0,0.76,,2.33,,,
"(5V20) (668QD) Sandpoint, ID",327,327,100.00%,0,0.00%,319,5,3,0,0,0,0,0.48,,,,,
"(5V20) (668QE) Spokane-West 2nd Avenue, WA",1,1,100.00%,0,0.00%,1,0,0,0,0,0,0,,,,,,
"(5V20) (687) Walla Walla, WA HCS","7,481","7,167",95.80%,314,4.20%,"6,408",380,379,196,61,32,25,5.31,10.00,1.93,,,
"(5V20) (687) Walla Walla, WA (Jonathan M. Wainwright)","3,959","3,769",95.20%,190,4.80%,"3,389",186,194,115,41,14,20,3.29,10.15,1.13,,,
"(5V20) (687GA) Richland, WA","1,153","1,131",98.09%,22,1.91%,"1,023",60,48,21,1,0,0,5.00,2.29,2.25,,,
"(5V20) (687GB) Lewiston, ID",783,741,94.64%,42,5.36%,578,80,83,28,7,4,3,8.61,0.00,4.28,,,
"(5V20) (687GC) La Grande, OR",265,260,98.11%,5,1.89%,246,12,2,2,1,2,0,3.46,5.00,1.13,,,
"(5V20) (687HA) Yakima, WA","1,159","1,105",95.34%,54,4.66%,"1,018",38,49,29,11,12,2,7.61,10.21,1.73,,,
"(5V20) (687QA) Grangeville, ID",68,68,100.00%,0,0.00%,63,4,1,0,0,0,0,1.82,,,,,
"(5V20) (687QB) Morrow County, OR",68,68,100.00%,0,0.00%,66,0,2,0,0,0,0,0.61,3.00,,,,
"(5V20) (687QC) Wallowa County, OR",26,25,96.15%,1,3.85%,25,0,0,1,0,0,0,3.04,,0.00,,,
"(5V20) (692) White City, OR HCS","8,970","8,504",94.80%,466,5.20%,"7,482",491,531,299,76,60,31,9.26,6.31,4.68,,,
"(5V20) (692) White City, OR","7,651","7,234",94.55%,417,5.45%,"6,373",422,439,273,67,51,26,12.26,6.33,3.97,,,
"(5V20) (692GA) Klamath Falls, OR",795,757,95.22%,38,4.78%,688,30,39,18,7,8,5,6.29,1.81,12.22,,,
"(5V20) (692GB) Grants Pass, OR",524,513,97.90%,11,2.10%,421,39,53,8,2,1,0,4.07,6.99,3.87,,,
"(5V21) (358) Manila, PI HCS","1,272","1,081",84.98%,191,15.02%,868,113,100,76,34,24,57,14.61,23.69,22.30,,,
"(5V21) (358) Manila, PI","1,272","1,081",84.98%,191,15.02%,868,113,100,76,34,24,57,14.61,23.69,22.30,,,
"(5V21) (459) Honolulu, HI HCS","15,895","14,720",92.61%,"1,175",7.39%,"13,032",820,868,656,293,96,130,7.21,13.36,2.68,,,
"(5V21) (459) Honolulu, HI (Spark M. Matsunaga)","9,650","8,841",91.62%,809,8.38%,"7,879",404,558,445,212,58,94,10.83,12.01,0.59,,,
"(5V21) (459GA) Maui, HI",887,838,94.48%,49,5.52%,742,52,44,26,16,2,5,3.71,25.12,3.77,,,
"(5V21) (459GB) Hilo, HI",953,904,94.86%,49,5.14%,792,73,39,33,7,3,6,3.79,16.98,4.16,,,
"(5V21) (459GC) Kailua-Kona, HI",833,759,91.12%,74,8.88%,665,40,54,52,13,5,4,7.39,22.90,6.17,,,
"(5V21) (459GD) Lihue, HI",638,566,88.71%,72,11.29%,504,28,34,44,13,9,6,7.45,22.21,2.39,,,
"(5V21) (459GE) Guam, GU","1,113","1,065",95.69%,48,4.31%,961,63,41,17,9,11,11,3.30,17.86,4.88,,,
"(5V21) (459GF) American Samoa, AS (Faleomavaega Eni Faauaa Hunkin)",757,717,94.72%,40,5.28%,601,84,32,15,17,6,2,2.68,17.43,2.16,,,
"(5V21) (459GG) Leeward Oahu, HI",931,905,97.21%,26,2.79%,766,74,65,19,4,2,1,4.85,30.56,5.17,,,
"(5V21) (459GH) Saipan, MP",90,86,95.56%,4,4.44%,84,1,1,1,2,0,1,0.00,15.50,2.65,,,
(5V21) (459MA) IDES Honolulu C&P,3,3,100.00%,0,0.00%,3,0,0,0,0,0,0,,0.00,,,,
"(5V21) (459QB) Molokai, HI",40,36,90.00%,4,10.00%,35,1,0,4,0,0,0,1.03,,15.67,,,
"(5V21) (570) Fresno, CA HCS","20,011","18,960",94.75%,"1,051",5.25%,"16,142","1,405","1,413",647,231,120,53,2.62,9.83,4.79,,,
"(5V21) (570) Fresno, CA","17,209","16,206",94.17%,"1,003",5.83%,"13,550","1,324","1,332",619,215,119,50,3.69,9.97,4.68,,,
"(5V21) (570GA) Merced, CA",955,924,96.75%,31,3.25%,852,27,45,14,14,0,3,0.95,12.50,12.77,,,
"(5V21) (570GB) Tulare, CA","1,341","1,334",99.48%,7,0.52%,"1,281",35,18,5,1,1,0,0.62,2.60,2.25,,,
"(5V21) (570GC) Oakhurst, CA",506,496,98.02%,10,1.98%,459,19,18,9,1,0,0,1.11,6.63,0.70,,,
(5V21) (612A4) N. California HCS,"59,745","56,705",94.91%,"3,040",5.09%,"50,731","2,607","3,367","2,128",566,173,173,4.39,8.36,2.11,,,
"(5V21) (612A4) Sacramento, CA","22,083","20,669",93.60%,"1,414",6.40%,"18,510",940,"1,219",957,318,77,62,5.65,9.20,3.84,,,
"(5V21) (612B4) Redding, CA","4,737","4,498",94.95%,239,5.05%,"4,111",171,216,156,54,16,13,3.95,11.92,4.81,,,
"(5V21) (612BY) Oakland, CA","2,970","2,815",94.78%,155,5.22%,"2,505",140,170,106,27,12,10,3.56,11.33,0.65,,,
"(5V21) (612GD) Fairfield-Travis Air Force Base, CA","1,956","1,901",97.19%,55,2.81%,"1,681",96,124,37,8,7,3,2.98,10.52,1.84,,,
"(5V21) (612GE) Mare Island-Vallejo, CA","1,860","1,846",99.25%,14,0.75%,"1,712",57,77,13,0,0,1,3.76,1.31,1.77,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2018",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(5V21) (612GF) Martinez, CA","11,278","10,639",94.33%,639,5.67%,"9,213",553,873,504,73,26,36,4.61,9.92,0.64,,,
"(5V21) (612GG) Chico, CA","1,558","1,514",97.18%,44,2.82%,"1,386",90,38,20,14,5,5,4.26,2.41,,,,
"(5V21) (612GH) McClellan Park, CA","7,656","7,390",96.53%,266,3.47%,"6,717",277,396,214,30,11,11,3.51,5.00,0.24,,,
"(5V21) (612GI) Yuba City, CA","1,035",986,95.27%,49,4.73%,919,33,34,28,13,6,2,4.68,38.79,0.79,,,
"(5V21) (612GJ) Yreka, CA",311,294,94.53%,17,5.47%,250,19,25,10,5,1,1,5.62,22.00,5.25,,,
(5V21) (612MA) IDES McClellan OPC,5,5,100.00%,0,0.00%,5,0,0,0,0,0,0,,0.00,,,,
"(5V21) (612QA) Cohasset, CA",928,881,94.94%,47,5.06%,789,42,50,17,16,3,11,,8.82,2.76,,,
"(5V21) (612QB) Twenty First Street, CA","1,652","1,648",99.76%,4,0.24%,"1,626",14,8,3,1,0,0,,,0.62,,,
"(5V21) (612QC) Cypress Avenue, CA","1,308","1,211",92.58%,97,7.42%,899,175,137,63,7,9,18,,9.80,,,,
"(5V21) (612QD) Howe Road, CA",408,408,100.00%,0,0.00%,408,0,0,0,0,0,0,,,,,,
"(5V21) (640) Palo Alto, CA HCS","35,701","32,566",91.22%,"3,135",8.78%,"27,140","2,321","3,105","2,246",512,210,167,11.13,10.32,6.46,,,
"(5V21) (640) Palo Alto, CA","14,796","13,709",92.65%,"1,087",7.35%,"11,691",853,"1,165",831,149,58,49,9.99,8.80,3.73,,,
"(5V21) (640A0) Menlo Park, CA","1,811","1,761",97.24%,50,2.76%,"1,563",98,100,41,6,2,1,3.53,5.59,4.01,,,
"(5V21) (640A4) Livermore, CA","5,080","4,491",88.41%,589,11.59%,"3,628",348,515,357,121,70,41,8.36,13.86,7.13,,,
"(5V21) (640BY) San Jose, CA","3,566","3,192",89.51%,374,10.49%,"2,539",304,349,271,63,17,23,14.69,11.57,6.29,,,
"(5V21) (640GA) Capitola, CA",97,80,82.47%,17,17.53%,40,13,27,12,3,1,1,20.99,,0.00,,,
"(5V21) (640GB) Sonora, CA",834,769,92.21%,65,7.79%,612,84,73,52,10,1,2,11.59,4.94,5.98,,,
"(5V21) (640GC) Fremont, CA",609,578,94.91%,31,5.09%,492,39,47,17,4,3,7,7.38,18.80,7.84,,,
"(5V21) (640HA) Stockton, CA","2,256","2,046",90.69%,210,9.31%,"1,650",144,252,161,25,12,12,11.64,10.76,11.24,,,
"(5V21) (640HB) Modesto, CA","2,549","2,265",88.86%,284,11.14%,"1,839",190,236,202,44,26,12,11.78,8.66,8.20,,,
"(5V21) (640HC) Monterey, CA (Major General William H. Gourley)","4,054","3,626",89.44%,428,10.56%,"3,037",248,341,302,87,20,19,9.81,11.82,6.14,,,
"(5V21) (640QA) Palo Alto 1, CA -
Mobile",48,48,100.00%,0,0.00%,48,0,0,0,0,0,0,,0.00,,,,
"(5V21) (640QB) Palo Alto 2, CA -
Mobile",1,1,100.00%,0,0.00%,1,0,0,0,0,0,0,,0.00,,,,
"(5V21) (654) Reno, NV HCS","23,541","21,988",93.40%,"1,553",6.60%,"19,232","1,194","1,562","1,021",338,117,77,8.03,9.83,5.59,,,
"(5V21) (654) Reno, NV (Ioannis A. Lougaris)","16,362","15,265",93.30%,"1,097",6.70%,"13,272",824,"1,169",781,198,67,51,8.05,10.13,5.79,,,
"(5V21) (654GA) Sierra Foothills, CA","1,002",979,97.70%,23,2.30%,908,45,26,19,0,0,4,2.75,76.00,2.71,,,
"(5V21) (654GB) Carson Valley, NV",875,842,96.23%,33,3.77%,687,89,66,25,4,2,2,6.57,5.38,10.57,,,
"(5V21) (654GC) Lahontan Valley, NV",716,665,92.88%,51,7.12%,551,42,72,35,7,4,5,9.49,8.51,7.80,,,
"(5V21) (654GD) Diamond View, CA",245,232,94.69%,13,5.31%,217,6,9,9,1,1,2,4.75,12.44,7.42,,,
"(5V21) (654GE) Reno East, NV","2,268","2,132",94.00%,136,6.00%,"1,932",89,111,69,33,26,8,11.37,8.05,4.08,,,
"(5V21) (654QA) Kietzke, NV","1,203","1,033",85.87%,170,14.13%,931,37,65,60,91,17,2,,11.53,,,,
"(5V21) (654QB) Capitol Hill, NV",35,35,100.00%,0,0.00%,35,0,0,0,0,0,0,,,,,,
"(5V21) (654QC) Winnemucca, NV",102,87,85.29%,15,14.71%,62,12,13,10,3,0,2,13.13,0.00,2.94,,,
"(5V21) (654QD) Virginia Street, NV",733,718,97.95%,15,2.05%,637,50,31,13,1,0,1,,3.43,,,,
"(5V21) (662) San Francisco, CA HCS","29,604","27,712",93.61%,"1,892",6.39%,"24,732","1,345","1,635","1,258",360,119,155,8.07,10.65,3.14,,,
"(5V21) (662) San Francisco, CA","20,482","19,314",94.30%,"1,168",5.70%,"17,535",772,"1,007",752,230,75,111,6.68,10.83,0.63,,,
"(5V21) (662GA) Santa Rosa, CA","3,843","3,466",90.19%,377,9.81%,"2,892",254,320,267,70,22,18,11.95,9.43,6.96,,,
"(5V21) (662GC) Eureka, CA","1,668","1,511",90.59%,157,9.41%,"1,352",77,82,95,31,13,18,10.01,14.47,3.95,,,
"(5V21) (662GD) Ukiah, CA","1,114","1,090",97.85%,24,2.15%,927,80,83,17,7,0,0,3.50,6.83,4.66,,,
"(5V21) (662GE) San Bruno, CA",841,759,90.25%,82,9.75%,634,61,64,60,11,5,6,11.30,20.50,15.17,,,
"(5V21) (662GF) San Francisco Downtown, CA",702,698,99.43%,4,0.57%,628,44,26,4,0,0,0,1.68,4.27,4.38,,,
"(5V21) (662GG) Clearlake, CA",954,874,91.61%,80,8.39%,764,57,53,63,11,4,2,10.18,3.82,7.39,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2018",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(5V21) (593) Las Vegas, NV HCS","45,678","41,590",91.05%,"4,088",8.95%,"35,909","2,619","3,062","2,948",700,212,228,3.41,13.93,2.82,,,
"(5V21) (593) Las Vegas, NV (North Las Vegas)","30,070","26,385",87.75%,"3,685",12.25%,"22,210","1,889","2,286","2,638",645,193,209,6.96,14.09,2.32,,,
"(5V21) (593GC) Pahrump, NV","1,107","1,095",98.92%,12,1.08%,"1,051",29,15,9,1,1,1,1.53,9.33,0.75,,,
"(5V21) (593GD) Northwest Las Vegas, NV","3,960","3,891",98.26%,69,1.74%,"3,488",207,196,59,8,1,1,2.85,3.11,2.99,,,
"(5V21) (593GE) Southeast Las Vegas, NV","3,624","3,516",97.02%,108,2.98%,"3,153",165,198,81,13,6,8,3.38,7.54,3.97,,,
"(5V21) (593GF) Southwest Las Vegas, NV","3,613","3,468",95.99%,145,4.01%,"3,082",175,211,109,22,9,5,3.18,13.25,4.62,,,
"(5V21) (593GG) Northeast Las Vegas, NV","2,831","2,785",98.38%,46,1.62%,"2,542",123,120,37,5,2,2,2.25,3.44,1.90,,,
"(5V21) (593GH) Laughlin, NV (Master Chief Petty Officer Jesse Dean)",382,361,94.50%,21,5.50%,300,25,36,14,5,0,2,7.74,9.28,2.07,,,
"(5V21) (593QC) West Cheyenne, NV",91,89,97.80%,2,2.20%,83,6,0,1,1,0,0,,,5.68,,,
(5V22) (501) New Mexico HCS,"29,468","26,770",90.84%,"2,698",9.16%,"22,804","1,876","2,090","1,614",620,237,227,7.99,12.93,8.47,,,
"(5V22) (501) Albuquerque, NM (Raymond G. Murphy)","23,580","21,301",90.34%,"2,279",9.66%,"18,058","1,526","1,717","1,344",527,214,194,10.14,12.82,7.46,,,
"(5V22) (501G2) Las Vegas, NM",229,216,94.32%,13,5.68%,196,5,15,3,4,2,4,5.08,0.00,24.58,,,
"(5V22) (501GA) Artesia, NM",442,437,98.87%,5,1.13%,379,32,26,4,1,0,0,3.06,3.50,5.85,,,
"(5V22) (501GB) Farmington, NM",623,525,84.27%,98,15.73%,430,45,50,64,23,3,8,13.95,7.55,8.25,,,
"(5V22) (501GC) Silver City, NM",332,313,94.28%,19,5.72%,269,22,22,15,3,1,0,5.77,3.86,3.43,,,
"(5V22) (501GD) Gallup, NM",405,364,89.88%,41,10.12%,304,25,35,23,10,3,5,10.99,0.00,13.02,,,
"(5V22) (501GE) Espanola, NM",277,260,93.86%,17,6.14%,211,18,31,12,3,0,2,7.35,3.57,33.67,,,
"(5V22) (501GH) Truth or Consequences, NM",366,363,99.18%,3,0.82%,357,4,2,3,0,0,0,0.95,0.00,0.00,,,
"(5V22) (501GI) Alamogordo, NM",390,377,96.67%,13,3.33%,344,22,11,11,0,0,2,4.25,1.00,4.53,,,
"(5V22) (501GJ) Durango, CO",305,295,96.72%,10,3.28%,276,8,11,7,3,0,0,3.46,5.40,1.00,,,
"(5V22) (501GK) Santa Fe, NM",733,679,92.63%,54,7.37%,598,36,45,38,9,3,4,3.56,5.33,15.26,,,
"(5V22) (501GM) Northwest Metro, NM","1,339","1,211",90.44%,128,9.56%,984,120,107,80,33,8,7,5.92,18.93,9.93,,,
"(5V22) (501GN) Taos, NM",230,220,95.65%,10,4.35%,196,9,15,6,3,1,0,2.96,2.33,21.67,,,
"(5V22) (501HB) Raton, NM",211,203,96.21%,8,3.79%,196,4,3,4,1,2,1,2.35,0.00,19.19,,,
(5V22) (501MA) IDES Kirtland AFB,6,6,100.00%,0,0.00%,6,0,0,0,0,0,0,,0.00,0.00,,,
"(5V22) (644) Phoenix, AZ HCS","53,797","49,402",91.83%,"4,395",8.17%,"42,450","2,915","4,037","3,168",779,239,209,6.64,11.15,5.64,,,
"(5V22) (644) Phoenix, AZ (Carl T. Hayden)","32,415","29,229",90.17%,"3,186",9.83%,"24,634","1,849","2,746","2,281",550,196,159,8.54,12.07,4.58,,,
"(5V22) (644BY) Southeast, AZ","8,401","7,887",93.88%,514,6.12%,"6,956",386,545,388,77,24,25,5.67,8.30,7.25,,,
"(5V22) (644GA) Northwest, AZ","4,623","4,453",96.32%,170,3.68%,"4,005",230,218,131,37,2,0,3.42,6.21,7.73,,,
"(5V22) (644GB) Show Low, AZ",911,819,89.90%,92,10.10%,660,53,106,65,15,3,9,13.45,9.68,8.69,,,
"(5V22) (644GC) Southwest, AZ","1,338","1,238",92.53%,100,7.47%,"1,110",62,66,55,41,3,1,7.04,3.49,8.64,,,
"(5V22) (644GD) Payson, AZ",336,329,97.92%,7,2.08%,323,3,3,5,2,0,0,0.94,,6.47,,,
"(5V22) (644GE) Thunderbird, AZ","1,539","1,476",95.91%,63,4.09%,"1,261",105,110,48,12,1,2,6.99,6.30,4.63,,,
"(5V22) (644GF) Globe, AZ",190,184,96.84%,6,3.16%,172,10,2,4,1,1,0,3.92,5.67,5.14,,,
"(5V22) (644GG) Northeast Phoenix- Via Linda Road, AZ",860,808,93.95%,52,6.05%,714,41,53,35,12,2,3,7.91,3.14,8.41,,,
"(5V22) (644GH) Phoenix Midtown, AZ","3,128","2,923",93.45%,205,6.55%,"2,559",176,188,156,32,7,10,8.35,5.72,2.36,,,
"(5V22) (644QA) Phoenix-East Thomas Road, AZ",56,56,100.00%,0,0.00%,56,0,0,0,0,0,0,,,,,,
(5V22) (649) Northern Arizona HCS,"13,014","12,283",94.38%,731,5.62%,"10,912",629,742,541,99,36,55,6.66,12.36,4.23,,,
"(5V22) (649) Prescott, AZ (Bob Stump)","9,205","8,623",93.68%,582,6.32%,"7,610",452,561,443,71,32,36,7.46,12.85,3.50,,,
"(5V22) (649GA) Kingman, AZ",879,841,95.68%,38,4.32%,775,35,31,23,7,1,7,7.92,10.00,3.95,,,
"(5V22) (649GB) Flagstaff, AZ",684,669,97.81%,15,2.19%,616,28,25,10,2,1,2,2.55,1.83,6.74,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2018",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(5V22) (649GC) Lake Havasu City, AZ",903,855,94.68%,48,5.32%,706,68,81,33,10,2,3,7.35,11.50,8.59,,,
"(5V22) (649GD) Anthem, AZ",541,530,97.97%,11,2.03%,481,30,19,10,0,0,1,5.11,3.20,3.33,,,
"(5V22) (649GE) Cottonwood, AZ",616,583,94.64%,33,5.36%,550,16,17,19,9,0,5,6.59,0.00,8.82,,,
"(5V22) (649QA) Chinle, AZ",62,61,98.39%,1,1.61%,61,0,0,1,0,0,0,0.15,,8.83,,,
"(5V22) (649QB) Holbrook, AZ",43,42,97.67%,1,2.33%,40,0,2,1,0,0,0,2.06,,7.14,,,
"(5V22) (649QD) Page, AZ",36,35,97.22%,1,2.78%,29,0,6,1,0,0,0,5.29,,10.60,,,
"(5V22) (649QF) Tuba City, AZ",21,21,100.00%,0,0.00%,21,0,0,0,0,0,0,0.00,,0.00,,,
"(5V22) (649QG) Polacca, AZ",3,3,100.00%,0,0.00%,3,0,0,0,0,0,0,0.00,,,,,
"(5V22) (649QH) Kayenta, AZ",21,20,95.24%,1,4.76%,20,0,0,0,0,0,1,12.35,,3.50,,,
(5V22) (678) Southern Arizona HCS,"37,183","35,124",94.46%,"2,059",5.54%,"30,605","2,189","2,330","1,326",475,137,121,6.06,8.85,2.80,,,
"(5V22) (678) Tucson, AZ","28,169","26,323",93.45%,"1,846",6.55%,"22,804","1,662","1,857","1,161",452,128,105,8.13,9.59,2.38,,,
"(5V22) (678GA) Sierra Vista, AZ","1,597","1,536",96.18%,61,3.82%,"1,360",96,80,49,8,2,2,4.78,7.04,2.82,,,
"(5V22) (678GB) Yuma, AZ","1,539","1,534",99.68%,5,0.32%,"1,450",64,20,5,0,0,0,1.11,1.67,2.00,,,
"(5V22) (678GC) Casa Grande, AZ","1,710","1,684",98.48%,26,1.52%,"1,510",81,93,20,3,2,1,2.13,5.13,5.30,,,
"(5V22) (678GD) Safford, AZ",246,240,97.56%,6,2.44%,217,16,7,3,1,2,0,2.46,1.00,12.15,,,
"(5V22) (678GE) Green Valley, AZ",460,447,97.17%,13,2.83%,356,49,42,9,0,0,4,11.12,2.53,2.91,,,
"(5V22) (678GF) Northwest Tucson, AZ","1,914","1,844",96.34%,70,3.66%,"1,595",115,134,55,11,2,2,6.11,5.10,4.60,,,
"(5V22) (678GG) Southeast Tucson, AZ","1,515","1,483",97.89%,32,2.11%,"1,280",106,97,24,0,1,7,7.65,4.69,2.00,,,
(5V22) (678MA) IDES Davis-Monthan AFB,12,12,100.00%,0,0.00%,12,0,0,0,0,0,0,,0.00,0.00,,,
(5V22) (678MB) IDES Fort Huachuca,21,21,100.00%,0,0.00%,21,0,0,0,0,0,0,,0.00,0.00,,,
"(5V22) (600) Long Beach, CA HCS","49,789","46,873",94.14%,"2,916",5.86%,"41,988","2,150","2,735","2,077",488,207,144,5.02,8.89,4.57,,,
"(5V22) (600) Long Beach, CA","42,772","40,170",93.92%,"2,602",6.08%,"36,024","1,744","2,402","1,819",442,203,138,5.15,8.82,4.03,,,
"(5V22) (600GA) Anaheim, CA","1,166","1,069",91.68%,97,8.32%,929,61,79,84,11,0,2,6.19,1.21,12.86,,,
"(5V22) (600GB) Santa Ana, CA","2,546","2,435",95.64%,111,4.36%,"2,139",162,134,81,24,2,4,2.55,11.20,5.82,,,
"(5V22) (600GC) Cabrillo, CA",931,930,99.89%,1,0.11%,915,11,4,1,0,0,0,1.20,,2.16,,,
"(5V22) (600GD) Santa Fe Springs, CA","1,136","1,113",97.98%,23,2.02%,997,72,44,19,4,0,0,3.22,11.95,3.68,,,
"(5V22) (600GE) Laguna Hills, CA","1,238","1,156",93.38%,82,6.62%,984,100,72,73,7,2,0,6.73,14.20,4.13,,,
"(5V22) (605) Loma Linda, CA HCS","46,766","43,758",93.57%,"3,008",6.43%,"38,147","2,600","3,011","2,254",516,132,106,2.50,9.20,5.66,,,
"(5V22) (605) Loma Linda, CA (Jerry L. Pettis)","20,792","19,057",91.66%,"1,735",8.34%,"16,478","1,083","1,496","1,255",327,82,71,3.97,9.30,2.79,,,
"(5V22) (605BZ) Loma Linda, CA","18,145","17,038",93.90%,"1,107",6.10%,"14,611","1,191","1,236",864,164,45,34,3.64,9.70,5.29,,,
"(5V22) (605GA) Victorville, CA","1,246","1,205",96.71%,41,3.29%,"1,117",46,42,38,3,0,0,0.74,5.00,6.56,,,
"(5V22) (605GB) Murrieta, CA","1,846","1,800",97.51%,46,2.49%,"1,690",55,55,28,16,2,0,1.05,6.28,8.45,,,
"(5V22) (605GC) Palm Desert, CA","2,172","2,154",99.17%,18,0.83%,"2,021",72,61,17,1,0,0,1.24,1.83,2.76,,,
"(5V22) (605GD) Corona, CA",863,844,97.80%,19,2.20%,742,53,49,19,0,0,0,1.46,0.13,9.40,,,
"(5V22) (605GE) Rancho Cucamonga, CA","1,659","1,617",97.47%,42,2.53%,"1,445",100,72,33,5,3,1,1.59,1.83,7.94,,,
"(5V22) (605QA) Blythe, CA",43,43,100.00%,0,0.00%,43,0,0,0,0,0,0,0.30,,0.00,,,
"(5V22) (664) San Diego, CA HCS","49,660","48,056",96.77%,"1,604",3.23%,"44,679","1,355","2,022","1,224",274,72,34,0.79,5.06,2.94,,,
"(5V22) (664) San Diego, CA","30,133","28,999",96.24%,"1,134",3.76%,"27,321",690,988,821,226,58,29,0.64,4.74,1.63,,,
"(5V22) (6649AA) San Diego, CA - CLC",19,16,84.21%,3,15.79%,14,1,1,3,0,0,0,,9.53,,,,
"(5V22) (664BU) San Diego, CA - VADOM",38,38,100.00%,0,0.00%,38,0,0,0,0,0,0,,,,,,
"(5V22) (664BY) Mission Valley, CA","8,856","8,641",97.57%,215,2.43%,"7,531",351,759,189,20,6,0,0.67,8.48,5.66,,,
"(5V22) (664GA) Imperial Valley, CA",534,533,99.81%,1,0.19%,482,31,20,1,0,0,0,1.48,5.37,1.52,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2018",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(5V22) (664GB) Oceanside, CA","6,647","6,463",97.23%,184,2.77%,"6,111",171,181,152,21,6,5,0.63,3.85,1.13,,,
"(5V22) (664GC) Chula Vista, CA","1,841","1,788",97.12%,53,2.88%,"1,676",70,42,44,7,2,0,0.78,4.68,7.19,,,
"(5V22) (664GD) Escondido, CA","1,185","1,173",98.99%,12,1.01%,"1,103",40,30,12,0,0,0,1.99,12.53,1.50,,,
"(5V22) (664QA) Rio, CA",407,405,99.51%,2,0.49%,403,1,1,2,0,0,0,,,0.00,,,
"(5V22) (691) Greater Los Angeles, CA HCS","54,601","51,004",93.41%,"3,597",6.59%,"44,525","2,838","3,641","2,766",589,146,96,4.44,9.03,4.96,,,
"(5V22) (691) West Los Angeles, CA","25,030","23,301",93.09%,"1,729",6.91%,"20,235","1,235","1,831","1,321",296,68,44,3.93,9.13,3.08,,,
"(5V22) (691A4) Sepulveda, CA","12,218","11,199",91.66%,"1,019",8.34%,"9,485",803,911,731,187,54,47,3.20,10.56,10.36,,,
"(5V22) (691GB) Santa Barbara, CA",794,788,99.24%,6,0.76%,710,32,46,3,3,0,0,2.51,6.00,1.87,,,
"(5V22) (691GC) Gardena, CA",638,637,99.84%,1,0.16%,634,3,0,1,0,0,0,0.06,0.57,0.20,,,
"(5V22) (691GD) Bakersfield, CA","2,990","2,900",96.99%,90,3.01%,"2,527",154,219,74,14,2,0,5.57,3.88,4.42,,,
"(5V22) (691GE) Los Angeles-East Temple, CA","6,195","5,815",93.87%,380,6.13%,"5,359",196,260,326,40,12,2,6.25,6.14,7.85,,,
"(5V22) (691GF) East Los Angeles, CA",869,857,98.62%,12,1.38%,824,15,18,10,2,0,0,1.75,8.25,1.98,,,
