facility,Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(5V21) (459GF) American Samoa, AS (Faleomavaega Eni Faauaa Hunkin)",674,665,98.66%,9,1.34%,641,13,11,7,2,0,0,0.39,8.31,0.94,,
"(5V21) (459GG) Leeward Oahu, HI","1,258","1,185",94.20%,73,5.80%,"1,014",83,88,38,16,5,14,8.51,13.17,4.33,,
"(5V21) (459GH) Saipan, MP",123,121,98.37%,2,1.63%,120,1,0,1,0,1,0,1.12,8.75,0.55,,
"(5V21) (459QB) Molokai, HI",43,33,76.74%,10,23.26%,24,1,8,8,2,0,0,6.00,9.00,0.50,,
"(5V21) (570) Fresno, CA HCS","31,173","29,806",95.61%,"1,367",4.39%,"27,262","1,192","1,352",744,283,94,246,0.55,14.97,5.17,,
"(5V21) (570) Fresno, CA","27,398","26,068",95.15%,"1,330",4.85%,"23,726","1,067","1,275",727,270,91,242,0.39,15.34,5.31,,
"(5V21) (570GA) Merced, CA","1,020","1,010",99.02%,10,0.98%,920,61,29,4,3,3,0,1.61,9.45,0.00,,
"(5V21) (570GB) Tulare, CA","2,235","2,213",99.02%,22,0.98%,"2,137",39,37,11,10,0,1,2.72,12.11,4.29,,
"(5V21) (570GC) Oakhurst, CA",520,515,99.04%,5,0.96%,479,25,11,2,0,0,3,1.86,4.69,2.75,,
(5V21) (612A4) N. California HCS,"77,269","73,018",94.50%,"4,251",5.50%,"66,740","2,824","3,454","2,170","1,010",541,530,3.22,6.52,3.39,,
(5V21) (612) Martinez VA CLC,1,1,100.00%,0,0.00%,1,0,0,0,0,0,0,,,0.00,,
"(5V21) (612A4) Sacramento, CA","29,248","27,374",93.59%,"1,874",6.41%,"25,310",897,"1,167",972,419,271,212,4.37,5.98,5.31,,
"(5V21) (612B4) Redding, CA","6,015","5,675",94.35%,340,5.65%,"5,210",216,249,159,103,55,23,0.52,5.44,4.63,,
"(5V21) (612BY) Oakland, CA","2,857","2,717",95.10%,140,4.90%,"2,406",143,168,68,23,18,31,3.27,9.56,10.08,,
"(5V21) (612GD) Fairfield, CA","2,295","2,176",94.81%,119,5.19%,"1,885",131,160,72,13,9,25,5.29,15.51,1.68,,
"(5V21) (612GE) Mare Island, CA","2,082","2,022",97.12%,60,2.88%,"1,835",79,108,44,7,2,7,3.24,4.23,0.71,,
"(5V21) (612GF) Martinez, CA","14,923","13,950",93.48%,973,6.52%,"12,267",813,870,523,226,102,122,2.59,9.03,2.04,,
"(5V21) (612GG) Chico, CA","4,781","4,676",97.80%,105,2.20%,"4,354",158,164,64,16,19,6,1.76,3.53,0.87,,
"(5V21) (612GH) McClellan Park, CA","9,174","8,762",95.51%,412,4.49%,"8,148",239,375,172,110,42,88,5.46,6.19,4.69,,
"(5V21) (612GI) Yuba City, CA","1,654","1,606",97.10%,48,2.90%,"1,537",27,42,29,17,2,0,2.12,0.52,3.60,,
"(5V21) (612GJ) Yreka, CA",454,454,100.00%,0,0.00%,435,8,11,0,0,0,0,3.02,0.05,0.00,,
"(5V21) (612GK) Sierra Foothills, CA","1,534","1,525",99.41%,9,0.59%,"1,448",45,32,8,1,0,0,2.47,0.34,0.73,,
"(5V21) (612QB) Twenty First Street, CA",785,775,98.73%,10,1.27%,766,2,7,5,3,0,2,,,1.57,,
"(5V21) (612QC) Cypress Avenue, CA","1,191","1,040",87.32%,151,12.68%,875,64,101,51,70,20,10,,11.50,,,
"(5V21) (612QD) Howe Road, CA",275,265,96.36%,10,3.64%,263,2,0,3,2,1,4,,,,,
"(5V21) (640) Palo Alto, CA HCS","49,297","45,490",92.28%,"3,807",7.72%,"38,272","3,048","4,170","2,115",614,496,582,3.49,15.60,2.48,,
"(5V21) (640) Palo Alto, CA","23,512","22,168",94.28%,"1,344",5.72%,"19,171","1,089","1,908",850,216,149,129,2.49,11.23,0.81,,
"(5V21) (640A0) Menlo Park, CA","2,596","2,560",98.61%,36,1.39%,"2,388",68,104,24,3,1,8,1.77,4.37,0.82,,
"(5V21) (640A4) Livermore, CA","6,310","5,447",86.32%,863,13.68%,"4,448",426,573,409,153,121,180,4.01,23.54,5.54,,
"(5V21) (640BY) San Jose, CA","3,803","3,327",87.48%,476,12.52%,"2,573",344,410,242,65,48,121,10.23,26.51,4.69,,
"(5V21) (640GA) Capitola, CA",149,147,98.66%,2,1.34%,109,16,22,2,0,0,0,5.49,,,,
"(5V21) (640GB) Sonora, CA",813,760,93.48%,53,6.52%,617,76,67,45,8,0,0,6.89,2.57,3.45,,
"(5V21) (640GC) Fremont, CA",776,744,95.88%,32,4.12%,644,56,44,17,4,4,7,9.92,3.31,2.46,,
"(5V21) (640HA) Stockton, CA","3,059","2,786",91.08%,273,8.92%,"2,252",209,325,202,34,16,21,4.81,12.15,4.08,,
"(5V21) (640HB) Modesto, CA","2,692","2,362",87.74%,330,12.26%,"1,722",269,371,181,46,25,78,12.08,8.78,5.69,,
"(5V21) (640HC) Monterey, CA (Major General William H. Gourley)","5,531","5,133",92.80%,398,7.20%,"4,292",495,346,143,85,132,38,2.60,19.91,1.81,,
"(5V21) (640QA) Palo Alto 1, CA -
Mobile",20,20,100.00%,0,0.00%,20,0,0,0,0,0,0,,0.00,,,
"(5V21) (640QB) Palo Alto 2, CA -
Mobile",36,36,100.00%,0,0.00%,36,0,0,0,0,0,0,,1.17,,,
"(5V21) (654) Reno, NV HCS","26,174","23,689",90.51%,"2,485",9.49%,"20,837","1,193","1,659","1,258",495,195,537,5.85,25.24,6.35,,
"(5V21) (654) Reno, NV (Ioannis A. Lougaris)","17,742","16,121",90.86%,"1,621",9.14%,"14,219",745,"1,157",902,352,135,232,2.98,20.31,6.68,,
"(5V21) (654GB) Carson Valley, NV",933,873,93.57%,60,6.43%,767,48,58,38,12,3,7,12.90,4.04,4.68,,
"(5V21) (654GC) Lahontan Valley, NV",707,656,92.79%,51,7.21%,568,35,53,38,7,2,4,9.45,23.67,2.47,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  February 2021",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(5V21) (654GD) Diamond View, CA",421,406,96.44%,15,3.56%,371,18,17,11,3,0,1,4.25,1.17,1.50,,
"(5V21) (654GE) Reno East, NV","1,444","1,416",98.06%,28,1.94%,"1,280",84,52,12,5,1,10,5.19,9.50,0.00,,
"(5V21) (654GF) North Reno, NV","3,174","2,858",90.04%,316,9.96%,"2,440",188,230,176,71,26,43,17.26,22.29,0.64,,
"(5V21) (654QA) Kietzke, NV",830,663,79.88%,167,20.12%,582,40,41,50,30,21,66,,23.42,,,
"(5V21) (654QB) Capitol Hill, NV",97,94,96.91%,3,3.09%,80,6,8,3,0,0,0,6.28,,,,
"(5V21) (654QC) Winnemucca, NV",50,45,90.00%,5,10.00%,25,8,12,5,0,0,0,12.07,0.00,3.50,,
"(5V21) (654QD) Virginia Street, NV",776,557,71.78%,219,28.22%,505,21,31,23,15,7,174,,58.79,,,
"(5V21) (662) San Francisco, CA HCS","37,325","35,003",93.78%,"2,322",6.22%,"31,255","1,761","1,987","1,168",457,246,451,2.74,16.23,1.50,,
"(5V21) (662) San Francisco, CA","25,405","23,657",93.12%,"1,748",6.88%,"21,003","1,152","1,502",887,362,160,339,3.27,16.24,1.29,,
"(5V21) (662GA) Santa Rosa, CA","5,080","4,692",92.36%,388,7.64%,"4,131",308,253,178,62,64,84,2.25,21.50,3.75,,
"(5V21) (662GC) Eureka, CA","2,164","2,121",98.01%,43,1.99%,"1,935",127,59,22,11,9,1,1.93,8.55,1.13,,
"(5V21) (662GD) Ukiah, CA","1,240","1,175",94.76%,65,5.24%,"1,047",65,63,33,7,8,17,3.50,14.16,2.38,,
"(5V21) (662GE) San Bruno, CA","1,441","1,395",96.81%,46,3.19%,"1,317",36,42,30,9,2,5,2.02,5.69,1.04,,
"(5V21) (662GF) San Francisco Downtown, CA",747,734,98.26%,13,1.74%,675,31,28,8,4,1,0,2.59,7.40,1.86,,
"(5V21) (662GG) Clearlake, CA","1,248","1,229",98.48%,19,1.52%,"1,147",42,40,10,2,2,5,1.85,4.03,0.94,,
"(5V21) (593) Las Vegas, NV HCS","55,475","50,303",90.68%,"5,172",9.32%,"44,355","2,559","3,389","2,795",971,608,798,7.37,12.74,5.12,,
"(5V21) (593) North Las Vegas, NV","38,219","33,640",88.02%,"4,579",11.98%,"29,648","1,540","2,452","2,416",853,569,741,15.57,13.32,4.95,,
"(5V21) (593GC) Pahrump, NV","1,813","1,807",99.67%,6,0.33%,"1,746",35,26,4,2,0,0,0.93,0.35,2.78,,
"(5V21) (593GD) Northwest Las Vegas, NV","4,351","4,219",96.97%,132,3.03%,"3,718",246,255,79,20,7,26,6.61,8.08,4.01,,
"(5V21) (593GE) Southeast Las Vegas, NV","3,495","3,375",96.57%,120,3.43%,"2,871",290,214,76,17,14,13,6.00,2.29,5.86,,
"(5V21) (593GF) Southwest Las Vegas, NV","4,113","3,924",95.40%,189,4.60%,"3,398",286,240,117,46,15,11,6.79,4.00,5.87,,
"(5V21) (593GG) Northeast Las Vegas, NV","2,808","2,703",96.26%,105,3.74%,"2,458",112,133,67,29,3,6,5.09,1.83,5.23,,
"(5V21) (593GH) Laughlin, NV (Master Chief Petty Officer Jesse Dean)",480,439,91.46%,41,8.54%,336,37,66,36,4,0,1,5.04,16.03,20.08,,
"(5V21) (593QC) West Cheyenne, NV",196,196,100.00%,0,0.00%,180,13,3,0,0,0,0,,,2.56,,
(5V22) (501) New Mexico HCS,"33,572","31,506",93.85%,"2,066",6.15%,"28,535","1,342","1,629",908,474,298,386,8.27,6.72,4.90,,
"(5V22) (501) Albuquerque, NM (Raymond G. Murphy)","29,661","27,725",93.47%,"1,936",6.53%,"25,163","1,117","1,445",825,452,290,369,9.33,6.94,4.95,,
"(5V22) (501G2) Las Vegas, NM",204,201,98.53%,3,1.47%,186,8,7,2,0,1,0,2.43,0.02,,,
"(5V22) (501GA) Artesia, NM",188,181,96.28%,7,3.72%,158,15,8,6,1,0,0,6.28,0.00,1.33,,
"(5V22) (501GB) Farmington, NM",324,296,91.36%,28,8.64%,254,20,22,15,8,5,0,6.52,0.06,2.92,,
"(5V22) (501GC) Silver City, NM",113,112,99.12%,1,0.88%,100,11,1,1,0,0,0,5.38,0.05,,,
"(5V22) (501GD) Gallup, NM",178,174,97.75%,4,2.25%,168,3,3,3,0,0,1,3.71,0.02,,,
"(5V22) (501GE) Espanola, NM",230,230,100.00%,0,0.00%,227,2,1,0,0,0,0,0.03,0.02,,,
"(5V22) (501GH) Truth or Consequences, NM",337,335,99.41%,2,0.59%,323,4,8,1,1,0,0,0.86,0.00,,,
"(5V22) (501GI) Alamogordo, NM",330,322,97.58%,8,2.42%,249,52,21,5,2,0,1,4.22,0.00,,,
"(5V22) (501GJ) Durango, CO",316,316,100.00%,0,0.00%,316,0,0,0,0,0,0,0.13,0.00,,,
"(5V22) (501GK) Santa Fe, NM",598,592,99.00%,6,1.00%,551,8,33,4,2,0,0,5.09,0.52,3.11,,
"(5V22) (501GM) Northwest Metro, NM",799,730,91.36%,69,8.64%,570,89,71,44,8,2,15,11.23,176.92,6.67,,
"(5V22) (501GN) Taos, NM",212,210,99.06%,2,0.94%,188,13,9,2,0,0,0,1.36,0.00,,,
"(5V22) (501HB) Raton, NM",82,82,100.00%,0,0.00%,82,0,0,0,0,0,0,0.32,0.00,,,
"(5V22) (644) Phoenix, AZ HCS","69,061","64,594",93.53%,"4,467",6.47%,"56,273","3,931","4,390","2,914",835,284,434,2.58,13.52,5.45,,
"(5V22) (644) Phoenix, AZ (Carl T. Hayden)","43,851","40,487",92.33%,"3,364",7.67%,"35,113","2,442","2,932","2,127",650,237,350,1.11,13.23,6.36,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  February 2021",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(5V22) (644) Phoenix, AZ (Carl T. Hayden)",3,2,66.67%,1,33.33%,2,0,0,1,0,0,0,3.22,18.76,5.13,,
"(5V22) (644BY) Southeast Gilbert, AZ","11,864","11,365",95.79%,499,4.21%,"9,939",758,668,339,102,12,46,3.22,18.76,5.13,,
"(5V22) (644GA) Northwest Surprise, AZ","4,543","4,364",96.06%,179,3.94%,"3,913",195,256,136,21,3,19,3.16,10.78,4.76,,
"(5V22) (644GB) Show Low, AZ",660,618,93.64%,42,6.36%,515,57,46,25,5,3,9,8.76,14.58,0.07,,
"(5V22) (644GC) Southwest Phoenix, AZ","1,977","1,887",95.45%,90,4.55%,"1,657",120,110,69,14,4,3,2.79,12.12,5.73,,
"(5V22) (644GD) Payson, AZ",225,198,88.00%,27,12.00%,184,7,7,21,5,1,0,7.34,3.20,,,
"(5V22) (644GE) Thunderbird, AZ","1,611","1,548",96.09%,63,3.91%,"1,293",109,146,51,8,2,2,5.38,3.36,3.40,,
"(5V22) (644GF) Globe, AZ",153,136,88.89%,17,11.11%,121,4,11,16,0,1,0,8.79,1.29,,,
"(5V22) (644GG) Northeast Phoenix, AZ",895,808,90.28%,87,9.72%,694,53,61,50,18,16,3,9.48,9.70,9.05,,
"(5V22) (644GH) Phoenix Midtown, AZ","3,264","3,166",97.00%,98,3.00%,"2,827",186,153,79,12,5,2,4.45,9.84,3.08,,
"(5V22) (644QA) Phoenix East Thomas Road, AZ",15,15,100.00%,0,0.00%,15,0,0,0,0,0,0,,,,,
(5V22) (649) Northern Arizona HCS,"17,125","16,390",95.71%,735,4.29%,"14,975",687,728,406,139,67,123,1.92,18.10,5.60,,
"(5V22) (649) Prescott, AZ (Bob Stump)","10,664","10,119",94.89%,545,5.11%,"9,171",463,485,274,107,62,102,1.51,19.10,4.96,,
"(5V22) (649GA) Kingman, AZ","1,570","1,545",98.41%,25,1.59%,"1,463",55,27,15,2,0,8,2.12,4.63,2.64,,
"(5V22) (649GB) Flagstaff, AZ",966,947,98.03%,19,1.97%,870,29,48,15,2,0,2,2.33,10.98,0.76,,
"(5V22) (649GC) Lake Havasu City, AZ","1,696","1,673",98.64%,23,1.36%,"1,569",71,33,16,3,1,3,1.53,2.64,8.00,,
"(5V22) (649GD) Anthem, AZ",912,863,94.63%,49,5.37%,787,19,57,41,6,2,0,2.65,0.00,7.17,,
"(5V22) (649GE) Cottonwood, AZ","1,203","1,134",94.26%,69,5.74%,"1,032",34,68,45,17,2,5,2.80,0.00,29.49,,
"(5V22) (649QA) Chinle, AZ",39,34,87.18%,5,12.82%,34,0,0,0,2,0,3,0.00,,0.00,,
"(5V22) (649QB) Holbrook, AZ",30,30,100.00%,0,0.00%,10,10,10,0,0,0,0,11.96,,,,
"(5V22) (649QD) Page, AZ",34,34,100.00%,0,0.00%,28,6,0,0,0,0,0,3.94,,0.00,,
"(5V22) (649QF) Tuba City, AZ",5,5,100.00%,0,0.00%,5,0,0,0,0,0,0,,,,,
"(5V22) (649QH) Kayenta, AZ",6,6,100.00%,0,0.00%,6,0,0,0,0,0,0,,,,,
(5V22) (678) Southern Arizona HCS,"46,706","43,987",94.18%,"2,719",5.82%,"39,931","2,134","1,922","1,493",534,248,444,2.24,12.71,4.02,,
"(5V22) (678GA) Sierra Vista, AZ",2,2,100.00%,0,0.00%,2,0,0,0,0,0,0,1.74,13.81,4.38,,
"(5V22) (678) Tucson, AZ","36,336","33,849",93.16%,"2,487",6.84%,"30,799","1,519","1,531","1,338",508,219,422,1.74,13.81,4.38,,
"(5V22) (678GA) Sierra Vista, AZ","1,906","1,836",96.33%,70,3.67%,"1,588",140,108,50,7,5,8,6.15,6.76,5.72,,
"(5V22) (678GB) Yuma, AZ","2,175","2,171",99.82%,4,0.18%,"2,115",41,15,1,2,0,1,0.87,2.06,0.73,,
"(5V22) (678GC) Casa Grande, AZ","1,795","1,713",95.43%,82,4.57%,"1,431",181,101,54,9,19,0,4.76,11.06,4.54,,
"(5V22) (678GD) Safford, AZ",476,469,98.53%,7,1.47%,414,41,14,4,2,0,1,2.80,0.00,13.96,,
"(5V22) (678GE) Green Valley, AZ",374,370,98.93%,4,1.07%,317,37,16,1,0,1,2,5.73,1.72,0.67,,
"(5V22) (678GF) Northwest Tucson, AZ","1,991","1,940",97.44%,51,2.56%,"1,746",95,99,33,6,3,9,7.58,9.75,2.92,,
"(5V22) (678GG) Southeast Tucson, AZ","1,651","1,637",99.15%,14,0.85%,"1,519",80,38,12,0,1,1,2.23,4.45,1.64,,
"(5V22) (600) Long Beach, CA HCS","58,209","55,016",94.51%,"3,193",5.49%,"49,646","2,476","2,894","1,621",735,338,499,2.21,14.84,3.99,,
"(5V22) (600) Long Beach, CA (Tibor Rubin)","50,804","47,783",94.05%,"3,021",5.95%,"42,886","2,208","2,689","1,514",713,321,473,2.16,15.18,4.26,,
"(5V22) (600GA) Anaheim, CA",911,876,96.16%,35,3.84%,780,53,43,25,8,1,1,2.98,,7.63,,
"(5V22) (600GB) Santa Ana, CA","2,251","2,169",96.36%,82,3.64%,"1,896",151,122,51,9,10,12,3.40,9.05,8.05,,
"(5V22) (600GC) Cabrillo, CA",680,679,99.85%,1,0.15%,677,1,1,0,1,0,0,0.74,,0.38,,
"(5V22) (600GD) Santa Fe Springs, CA","1,209","1,205",99.67%,4,0.33%,"1,161",35,9,4,0,0,0,1.41,,0.61,,
"(5V22) (600GE) Laguna Hills, CA","1,511","1,491",98.68%,20,1.32%,"1,467",17,7,6,3,3,8,4.14,0.00,0.31,,
"(5V22) (600GF) Gardena, CA",843,813,96.44%,30,3.56%,779,11,23,21,1,3,5,0.19,14.72,4.06,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  February 2021",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(5V22) (605) Loma Linda, CA HCS","51,424","48,785",94.87%,"2,639",5.13%,"43,948","2,074","2,763","1,619",474,304,242,2.32,5.78,5.95,,
"(5V22) (605) Loma Linda, CA (Jerry L. Pettis)","24,519","23,218",94.69%,"1,301",5.31%,"21,122",881,"1,215",629,283,226,163,1.33,5.64,2.38,,
"(5V22) (605BZ) Loma Linda Redlands, CA","18,505","17,323",93.61%,"1,182",6.39%,"15,192",894,"1,237",877,176,75,54,2.54,7.19,6.70,,
"(5V22) (605GA) Victorville, CA","1,444","1,404",97.23%,40,2.77%,"1,235",73,96,33,3,0,4,1.40,0.00,6.90,,
"(5V22) (605GB) Murrieta, CA","2,218","2,175",98.06%,43,1.94%,"2,007",79,89,29,7,1,6,1.00,1.88,5.67,,
"(5V22) (605GC) Palm Desert, CA","2,060","2,043",99.17%,17,0.83%,"1,947",55,41,13,1,0,3,0.38,1.49,5.47,,
"(5V22) (605GD) Corona, CA",837,810,96.77%,27,3.23%,744,39,27,21,2,2,2,1.03,0.00,5.15,,
"(5V22) (605GE) Rancho Cucamonga, CA","1,841","1,812",98.42%,29,1.58%,"1,701",53,58,17,2,0,10,4.69,0.17,4.09,,
"(5V22) (664) San Diego, CA HCS","55,127","51,858",94.07%,"3,269",5.93%,"47,193","2,192","2,473","1,568",819,370,512,1.38,13.60,2.77,,
"(5V22) (664) San Diego, CA","38,739","36,342",93.81%,"2,397",6.19%,"33,747","1,130","1,465","1,099",591,286,421,0.82,14.68,1.02,,
"(5V22) (664BY) Mission Valley, CA","6,282","6,023",95.88%,259,4.12%,"5,053",509,461,146,79,19,15,3.80,10.31,4.96,,
"(5V22) (664GA) Imperial Valley, CA",508,508,100.00%,0,0.00%,503,3,2,0,0,0,0,0.17,,,,
"(5V22) (664GB) Oceanside, CA","5,684","5,225",91.92%,459,8.08%,"4,586",304,335,223,129,56,51,4.44,11.52,4.08,,
"(5V22) (664GC) Chula Vista, CA","2,561","2,443",95.39%,118,4.61%,"2,142",150,151,69,16,8,25,4.42,12.41,3.86,,
"(5V22) (664GD) Escondido, CA","1,106","1,070",96.75%,36,3.25%,915,96,59,31,4,1,0,2.45,0.00,5.50,,
"(5V22) (664QA) Rio, CA",247,247,100.00%,0,0.00%,247,0,0,0,0,0,0,,,0.00,,
"(5V22) (691) Greater Los Angeles, CA HCS","58,801","55,495",94.38%,"3,306",5.62%,"48,590","3,082","3,823","1,912",651,358,385,3.34,7.77,3.94,,
"(5V22) (691) West Los Angeles, CA","28,862","27,151",94.07%,"1,711",5.93%,"23,921","1,336","1,894","1,099",302,179,131,1.58,7.09,3.67,,
"(5V22) (691A4) Sepulveda, CA","12,461","11,559",92.76%,902,7.24%,"9,951",804,804,428,222,73,179,3.71,8.97,4.65,,
"(5V22) (691GB) Santa Barbara, CA",768,758,98.70%,10,1.30%,684,50,24,7,2,1,0,1.90,25.57,0.63,,
"(5V22) (691GD) Bakersfield, CA","3,167","3,113",98.29%,54,1.71%,"2,743",185,185,37,13,3,1,3.30,3.07,2.47,,
"(5V22) (691GE) Los Angeles, CA","5,208","5,008",96.16%,200,3.84%,"4,547",231,230,122,37,12,29,2.34,9.22,3.35,,
"(5V22) (691GF) East Los Angeles, CA","1,059","1,059",100.00%,0,0.00%,"1,027",21,11,0,0,0,0,0.40,0.63,0.90,,
"(5V22) (691GG) Antelope Valley, CA","1,570","1,521",96.88%,49,3.12%,"1,294",96,131,24,19,5,1,1.96,6.10,3.83,,
(5V22) (691GH) West Los Angeles (Patriotic Hall),5,5,100.00%,0,0.00%,5,0,0,0,0,0,0,,,,,
"(5V22) (691GK) San Luis Obispo, CA",963,921,95.64%,42,4.36%,792,67,62,34,7,0,1,5.35,11.14,1.86,,
"(5V22) (691) West Los Angeles, CA",13,13,100.00%,0,0.00%,13,0,0,0,0,0,0,3.79,20.21,3.20,,
"(5V22) (691GL) Santa Maria, CA","1,965","1,749",89.01%,216,10.99%,"1,399",132,218,76,34,75,31,3.79,20.21,3.20,,
"(5V22) (691GM) Oxnard, CA","2,544","2,425",95.32%,119,4.68%,"2,014",152,259,83,14,10,12,12.12,3.80,8.70,,
"(5V22) (691GP) San Gabriel Valley, CA",216,213,98.61%,3,1.39%,200,8,5,2,1,0,0,2.50,,1.51,,
"(3V23) (437) Fargo, ND HCS","25,263","24,600",97.38%,663,2.62%,"23,423",577,600,356,123,69,115,0.74,9.41,3.90,,
"(3V23) (437) Fargo, ND","17,296","16,706",96.59%,590,3.41%,"15,758",446,502,308,104,65,113,0.78,9.40,4.52,,
"(3V23) (437GA) Grafton, ND",369,369,100.00%,0,0.00%,366,2,1,0,0,0,0,0.15,1.58,0.00,,
"(3V23) (437GB) Bismarck, ND","1,785","1,722",96.47%,63,3.53%,"1,694",14,14,38,19,4,2,0.39,25.24,4.00,,
"(3V23) (437GC) Fergus Falls, MN",808,808,100.00%,0,0.00%,804,2,2,0,0,0,0,0.09,1.05,0.55,,
"(3V23) (437GD) Minot, ND","1,400","1,397",99.79%,3,0.21%,"1,365",19,13,3,0,0,0,0.51,1.41,1.71,,
"(3V23) (437GE) Bemidji, MN","1,248","1,243",99.60%,5,0.40%,"1,201",23,19,5,0,0,0,0.99,1.46,3.05,,
"(3V23) (437GF) Williston, ND",312,311,99.68%,1,0.32%,300,9,2,1,0,0,0,1.23,7.00,,,
"(3V23) (437GI) Grand Forks, ND",902,902,100.00%,0,0.00%,845,27,30,0,0,0,0,0.99,1.23,1.38,,
"(3V23) (437GJ) Dickinson, ND",596,595,99.83%,1,0.17%,579,7,9,1,0,0,0,1.63,2.14,5.00,,
"(3V23) (437GK) Jamestown, ND",296,296,100.00%,0,0.00%,282,9,5,0,0,0,0,1.81,1.08,1.00,,
"(3V23) (437GL) Devils Lake, ND",150,150,100.00%,0,0.00%,149,1,0,0,0,0,0,0.23,1.27,0.33,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  February 2021",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,
"(3V23) (437QA) North Fargo, ND",101,101,100.00%,0,0.00%,80,18,3,0,0,0,0,4.99,,,,
"(3V23) (438) Sioux Falls, SD HCS","20,638","19,765",95.77%,873,4.23%,"18,230",846,689,384,233,140,116,3.52,7.07,3.57,,
"(3V23) (438) Sioux Falls, SD (Royal C. Johnson)","16,209","15,573",96.08%,636,3.92%,"14,374",674,525,266,181,120,69,2.01,7.04,3.93,,
"(3V23) (438GA) Spirit Lake, IA",962,830,86.28%,132,13.72%,744,43,43,56,29,17,30,20.51,6.16,4.19,,
"(3V23) (438GC) Sioux City, SD","1,732","1,679",96.94%,53,3.06%,"1,573",56,50,21,16,1,15,3.58,9.56,2.65,,
"(3V23) (438GD) Aberdeen, SD",706,693,98.16%,13,1.84%,656,17,20,9,1,2,1,2.36,2.36,4.60,,
"(3V23) (438GE) Wagner, SD",192,180,93.75%,12,6.25%,139,16,25,9,2,0,1,8.61,5.25,,,
"(3V23) (438GF) Watertown, SD",837,810,96.77%,27,3.23%,744,40,26,23,4,0,0,3.11,4.41,1.47,,
"(3V23) (568) Black Hills, SD HCS","15,114","14,105",93.32%,"1,009",6.68%,"12,978",567,560,399,287,106,217,5.18,20.79,2.65,,
"(3V23) (568) Fort Meade, SD","8,074","7,458",92.37%,616,7.63%,"6,863",298,297,236,179,69,132,5.27,19.58,2.18,,
"(3V23) (568A4) Hot Springs, SD","3,016","2,869",95.13%,147,4.87%,"2,635",136,98,44,49,13,41,1.55,24.25,3.56,,
"(3V23) (568GA) Rapid City, SD","2,765","2,539",91.83%,226,8.17%,"2,289",114,136,108,57,23,38,9.38,24.36,3.21,,
"(3V23) (568GB) Pierre, SD",259,259,100.00%,0,0.00%,255,3,1,0,0,0,0,0.01,0.00,4.33,,
"(3V23) (568HA) Newcastle, WY",4,3,75.00%,1,25.00%,2,0,1,0,0,0,1,38.25,,,,
"(3V23) (568HB) Gordon, NE",14,14,100.00%,0,0.00%,14,0,0,0,0,0,0,2.00,,,,
