facility,Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(5V21) (570GB) Tulare, CA","1,689","1,662",98.40%,27,1.60%,"1,576",44,42,25,1,0,1,1.86,10.58,4.88,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2020",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(5V21) (570GC) Oakhurst, CA",554,547,98.74%,7,1.26%,509,22,16,2,2,1,2,2.12,6.44,0.50,,,
(5V21) (612A4) N. California HCS,"60,531","56,138",92.74%,"4,393",7.26%,"50,573","2,415","3,150","2,438","1,031",413,511,3.90,11.83,2.20,,,
"(5V21) (612A4) Sacramento, CA","21,634","19,794",91.49%,"1,840",8.51%,"17,854",796,"1,144","1,010",461,172,197,6.70,10.99,2.44,,,
"(5V21) (612B4) Redding, CA","4,034","3,733",92.54%,301,7.46%,"3,367",156,210,153,85,43,20,0.72,18.32,4.90,,,
"(5V21) (612BY) Oakland, CA","2,347","2,199",93.69%,148,6.31%,"1,998",81,120,96,33,13,6,2.52,14.39,0.00,,,
"(5V21) (612GD) Fairfield, CA","2,242","2,119",94.51%,123,5.49%,"1,878",145,96,74,13,8,28,4.98,32.53,1.06,,,
"(5V21) (612GE) Mare Island, CA","2,106","1,974",93.73%,132,6.27%,"1,816",64,94,87,34,2,9,2.20,6.64,0.69,,,
"(5V21) (612GF) Martinez, CA","11,866","10,899",91.85%,967,8.15%,"9,440",608,851,541,223,72,131,3.73,13.42,0.91,,,
"(5V21) (612GG) Chico, CA","3,827","3,703",96.76%,124,3.24%,"3,428",132,143,88,16,1,19,1.77,7.08,1.96,,,
"(5V21) (612GH) McClellan Park, CA","7,206","6,773",93.99%,433,6.01%,"6,191",263,319,200,107,62,64,4.57,9.52,5.95,,,
"(5V21) (612GI) Yuba City, CA","1,337","1,290",96.48%,47,3.52%,"1,233",32,25,37,5,0,5,6.70,0.25,1.79,,,
"(5V21) (612GJ) Yreka, CA",302,296,98.01%,6,1.99%,275,7,14,5,0,1,0,4.06,0.60,0.00,,,
"(5V21) (612GK) Sierra Foothills, CA","1,080","1,057",97.87%,23,2.13%,997,32,28,21,0,1,1,3.08,4.29,0.71,,,
"(5V21) (612QB) Twenty First Street, CA","1,072","1,068",99.63%,4,0.37%,"1,042",15,11,4,0,0,0,,,0.24,,,
"(5V21) (612QC) Cypress Avenue, CA","1,225",980,80.00%,245,20.00%,801,84,95,122,54,38,31,,20.85,,,,
"(5V21) (612QD) Howe Road, CA",253,253,100.00%,0,0.00%,253,0,0,0,0,0,0,,,,,,
"(5V21) (640) Palo Alto, CA HCS","38,382","34,119",88.89%,"4,263",11.11%,"27,815","2,777","3,527","2,395",982,355,531,8.44,14.70,3.61,,,
"(5V21) (640) Palo Alto, CA","15,739","14,411",91.56%,"1,328",8.44%,"12,086","1,012","1,313",871,283,104,70,7.29,9.96,1.53,,,
"(5V21) (640A0) Menlo Park, CA","1,922","1,858",96.67%,64,3.33%,"1,670",110,78,47,10,4,3,,6.07,1.65,,,
"(5V21) (640A4) Livermore, CA","5,227","4,215",80.64%,"1,012",19.36%,"3,326",382,507,484,269,90,169,7.94,22.50,11.17,,,
"(5V21) (640BY) San Jose, CA","3,956","3,358",84.88%,598,15.12%,"2,596",349,413,316,127,80,75,15.11,19.97,3.45,,,
"(5V21) (640GA) Capitola, CA",133,133,100.00%,0,0.00%,107,14,12,0,0,0,0,2.40,,,,,
"(5V21) (640GB) Sonora, CA",874,816,93.36%,58,6.64%,634,68,114,50,8,0,0,4.67,2.50,6.67,,,
"(5V21) (640GC) Fremont, CA",844,766,90.76%,78,9.24%,618,74,74,30,19,8,21,3.91,0.59,6.76,,,
"(5V21) (640HA) Stockton, CA","2,147","1,922",89.52%,225,10.48%,"1,438",204,280,151,41,11,22,7.90,6.85,4.10,,,
"(5V21) (640HB) Modesto, CA","2,712","2,393",88.24%,319,11.76%,"1,799",257,337,156,46,25,92,12.58,8.37,5.90,,,
"(5V21) (640HC) Monterey, CA (Major General William H. Gourley)","4,731","4,150",87.72%,581,12.28%,"3,444",307,399,290,179,33,79,5.02,25.36,1.56,,,
"(5V21) (640QA) Palo Alto 1, CA -
Mobile",46,46,100.00%,0,0.00%,46,0,0,0,0,0,0,,0.09,,,,
"(5V21) (640QB) Palo Alto 2, CA -
Mobile",51,51,100.00%,0,0.00%,51,0,0,0,0,0,0,,1.69,,,,
"(5V21) (654) Reno, NV HCS","21,146","18,977",89.74%,"2,169",10.26%,"16,470","1,100","1,407","1,064",394,221,490,10.79,23.28,5.59,,,
"(5V21) (654) Reno, NV (Ioannis A. Lougaris)","12,751","11,448",89.78%,"1,303",10.22%,"9,844",692,912,735,263,124,181,5.75,18.20,5.14,,,
"(5V21) (654GB) Carson Valley, NV",896,828,92.41%,68,7.59%,714,60,54,36,13,8,11,16.54,11.60,0.90,,,
"(5V21) (654GC) Lahontan Valley, NV",561,531,94.65%,30,5.35%,443,47,41,15,7,5,3,7.30,25.60,47.60,,,
"(5V21) (654GD) Diamond View, CA",348,336,96.55%,12,3.45%,305,19,12,7,3,0,2,3.34,9.60,14.40,,,
"(5V21) (654GE) Reno East, NV","1,670","1,583",94.79%,87,5.21%,"1,403",81,99,55,15,8,9,9.52,8.67,89.80,,,
"(5V21) (654GF) North Reno, NV","3,199","2,961",92.56%,238,7.44%,"2,635",135,191,168,24,22,24,14.58,12.18,0.00,,,
"(5V21) (654QA) Kietzke, NV",810,642,79.26%,168,20.74%,545,32,65,31,44,45,48,,22.82,,,,
"(5V21) (654QB) Capitol Hill, NV",36,36,100.00%,0,0.00%,36,0,0,0,0,0,0,0.00,,,,,
"(5V21) (654QC) Winnemucca, NV",83,76,91.57%,7,8.43%,52,10,14,4,2,0,1,12.14,,0.00,,,
"(5V21) (654QD) Virginia Street, NV",792,536,67.68%,256,32.32%,493,24,19,13,23,9,211,,56.15,,,,
"(5V21) (662) San Francisco, CA HCS","30,843","28,505",92.42%,"2,338",7.58%,"25,040","1,620","1,845","1,272",425,213,428,5.35,16.97,2.00,,,
"(5V21) (662) San Francisco, CA","21,295","19,630",92.18%,"1,665",7.82%,"17,328","1,009","1,293",932,269,152,312,5.77,16.55,1.45,,,
"(5V21) (662GA) Santa Rosa, CA","3,912","3,497",89.39%,415,10.61%,"2,975",249,273,182,95,38,100,6.83,23.55,6.44,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2020",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(5V21) (662GC) Eureka, CA","1,901","1,814",95.42%,87,4.58%,"1,564",162,88,47,24,11,5,5.27,7.94,1.08,,,
"(5V21) (662GD) Ukiah, CA",848,804,94.81%,44,5.19%,704,49,51,25,9,4,6,3.63,14.90,0.00,,,
"(5V21) (662GE) San Bruno, CA","1,123","1,075",95.73%,48,4.27%,966,57,52,33,11,2,2,6.57,7.88,3.16,,,
"(5V21) (662GF) San Francisco Downtown, CA",621,610,98.23%,11,1.77%,584,13,13,8,3,0,0,1.26,12.67,1.36,,,
"(5V21) (662GG) Clearlake, CA","1,143","1,075",94.05%,68,5.95%,919,81,75,45,14,6,3,2.81,12.85,8.09,,,
"(5V21) (593) Las Vegas, NV HCS","44,757","39,732",88.77%,"5,025",11.23%,"33,545","2,515","3,672","2,744","1,110",459,712,6.17,22.51,5.33,,,
"(5V21) (593) North Las Vegas, NV","27,315","23,026",84.30%,"4,289",15.70%,"18,861","1,545","2,620","2,250",988,388,663,12.38,22.86,4.89,,,
"(5V21) (593GC) Pahrump, NV",705,688,97.59%,17,2.41%,627,49,12,16,1,0,0,1.11,1.91,6.26,,,
"(5V21) (593GD) Northwest Las Vegas, NV","4,509","4,353",96.54%,156,3.46%,"3,860",249,244,107,20,19,10,4.52,4.98,6.43,,,
"(5V21) (593GE) Southeast Las Vegas, NV","3,869","3,625",93.69%,244,6.31%,"3,188",231,206,152,44,26,22,6.96,2.25,6.00,,,
"(5V21) (593GF) Southwest Las Vegas, NV","4,477","4,293",95.89%,184,4.11%,"3,739",247,307,115,33,22,14,5.64,5.13,5.63,,,
"(5V21) (593GG) Northeast Las Vegas, NV","3,254","3,153",96.90%,101,3.10%,"2,764",161,228,74,22,3,2,4.04,2.74,4.06,,,
"(5V21) (593GH) Laughlin, NV (Master Chief Petty Officer Jesse Dean)",444,422,95.05%,22,4.95%,350,29,43,18,2,1,1,3.73,10.03,23.88,,,
"(5V21) (593QC) West Cheyenne, NV",184,172,93.48%,12,6.52%,156,4,12,12,0,0,0,,,4.31,,,
(5V22) (501) New Mexico HCS,"20,616","18,699",90.70%,"1,917",9.30%,"16,584",990,"1,125",926,389,206,396,10.92,16.06,4.78,,,
"(5V22) (501GB) Farmington, NM",129,100,77.52%,29,22.48%,66,11,23,18,6,3,2,14.52,15.31,4.86,,,
"(5V22) (501GK) Santa Fe, NM",48,46,95.83%,2,4.17%,44,1,1,1,0,0,1,14.52,15.31,4.86,,,
"(5V22) (501) Albuquerque, NM (Raymond G. Murphy)","17,084","15,345",89.82%,"1,739",10.18%,"13,634",772,939,838,361,195,345,14.52,15.31,4.86,,,
"(5V22) (501G2) Las Vegas, NM",123,119,96.75%,4,3.25%,113,4,2,3,0,1,0,0.61,,,,,
"(5V22) (501GA) Artesia, NM",178,169,94.94%,9,5.06%,145,9,15,7,2,0,0,6.53,,3.00,,,
"(5V22) (501GB) Farmington, NM",198,177,89.39%,21,10.61%,134,20,23,14,1,3,3,10.22,,13.90,,,
"(5V22) (501GC) Silver City, NM",73,73,100.00%,0,0.00%,67,3,3,0,0,0,0,3.27,0.00,,,,
"(5V22) (501GD) Gallup, NM",155,151,97.42%,4,2.58%,143,5,3,1,1,0,2,5.97,,,,,
"(5V22) (501GE) Espanola, NM",192,178,92.71%,14,7.29%,164,7,7,0,1,0,13,38.39,,,,,
"(5V22) (501GH) Truth or Consequences, NM",344,341,99.13%,3,0.87%,330,4,7,3,0,0,0,1.49,0.00,,,,
"(5V22) (501GI) Alamogordo, NM",301,288,95.68%,13,4.32%,202,42,44,6,1,1,5,0.27,0.00,,,,
"(5V22) (501GJ) Durango, CO",458,458,100.00%,0,0.00%,453,3,2,0,0,0,0,0.44,,1.13,,,
"(5V22) (501GK) Santa Fe, NM",285,260,91.23%,25,8.77%,211,22,27,15,8,1,1,5.13,,2.14,,,
"(5V22) (501GM) Northwest Metro, NM",892,839,94.06%,53,5.94%,727,83,29,19,8,2,24,7.72,189.14,6.38,,,
"(5V22) (501GN) Taos, NM",145,144,99.31%,1,0.69%,140,4,0,1,0,0,0,0.00,,,,,
"(5V22) (501HB) Raton, NM",11,11,100.00%,0,0.00%,11,0,0,0,0,0,0,0.00,,,,,
"(5V22) (644) Phoenix, AZ HCS","53,393","48,693",91.20%,"4,700",8.80%,"41,490","2,919","4,284","3,117",810,318,455,4.48,13.27,5.94,,,
"(5V22) (644) Phoenix, AZ (Carl T. Hayden)","33,369","29,641",88.83%,"3,728",11.17%,"24,701","1,874","3,066","2,372",694,285,377,4.94,13.22,8.18,,,
"(5V22) (644) Phoenix, AZ (Carl T. Hayden)",4,3,75.00%,1,25.00%,3,0,0,1,0,0,0,4.74,16.33,4.15,,,
"(5V22) (644BY) Southeast Gilbert, AZ","7,728","7,237",93.65%,491,6.35%,"6,323",378,536,386,47,16,42,4.74,16.33,4.15,,,
"(5V22) (644GA) Northwest Surprise, AZ","4,234","4,102",96.88%,132,3.12%,"3,781",183,138,91,16,4,21,2.17,10.73,4.31,,,
"(5V22) (644GB) Show Low, AZ",701,669,95.44%,32,4.56%,572,48,49,24,8,0,0,5.62,10.27,4.00,,,
"(5V22) (644GC) Southwest Phoenix, AZ","1,735","1,634",94.18%,101,5.82%,"1,393",138,103,64,19,8,10,6.25,10.20,4.91,,,
"(5V22) (644GD) Payson, AZ",200,188,94.00%,12,6.00%,165,6,17,12,0,0,0,5.17,,0.00,,,
"(5V22) (644GE) Thunderbird, AZ","1,465","1,425",97.27%,40,2.73%,"1,201",87,137,34,6,0,0,5.63,3.44,3.83,,,
"(5V22) (644GF) Globe, AZ",133,133,100.00%,0,0.00%,127,5,1,0,0,0,0,1.01,1.43,,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2020",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(5V22) (644GG) Northeast Phoenix, AZ",966,911,94.31%,55,5.69%,793,51,67,37,12,3,3,5.61,10.13,6.44,,,
"(5V22) (644GH) Phoenix Midtown, AZ","2,848","2,740",96.21%,108,3.79%,"2,421",149,170,96,8,2,2,4.34,7.79,2.10,,,
"(5V22) (644QA) Phoenix East Thomas Road, AZ",10,10,100.00%,0,0.00%,10,0,0,0,0,0,0,,,,,,
(5V22) (649) Northern Arizona HCS,"11,920","11,107",93.18%,813,6.82%,"9,948",512,647,499,131,68,115,5.70,19.58,5.36,,,
"(5V22) (649) Prescott, AZ (Bob Stump)","7,882","7,244",91.91%,638,8.09%,"6,460",353,431,370,103,63,102,5.53,21.32,5.41,,,
"(5V22) (649GA) Kingman, AZ","1,025",988,96.39%,37,3.61%,902,43,43,20,8,2,7,7.09,1.39,1.80,,,
"(5V22) (649GB) Flagstaff, AZ",696,668,95.98%,28,4.02%,626,19,23,25,2,0,1,3.76,7.89,1.84,,,
"(5V22) (649GC) Lake Havasu City, AZ",958,945,98.64%,13,1.36%,865,48,32,6,1,1,5,3.11,0.68,12.60,,,
"(5V22) (649GD) Anthem, AZ",584,570,97.60%,14,2.40%,491,21,58,11,2,1,0,8.90,0.50,3.80,,,
"(5V22) (649GE) Cottonwood, AZ",657,577,87.82%,80,12.18%,507,21,49,64,15,1,0,7.21,2.75,20.51,,,
"(5V22) (649QA) Chinle, AZ",29,29,100.00%,0,0.00%,29,0,0,0,0,0,0,0.00,,0.00,,,
"(5V22) (649QB) Holbrook, AZ",44,42,95.45%,2,4.55%,25,6,11,2,0,0,0,8.40,,,,,
"(5V22) (649QD) Page, AZ",28,28,100.00%,0,0.00%,27,1,0,0,0,0,0,2.54,,,,,
"(5V22) (649QF) Tuba City, AZ",13,12,92.31%,1,7.69%,12,0,0,1,0,0,0,0.00,,,,,
"(5V22) (649QG) Polacca, AZ",3,3,100.00%,0,0.00%,3,0,0,0,0,0,0,0.00,,,,,
"(5V22) (649QH) Kayenta, AZ",1,1,100.00%,0,0.00%,1,0,0,0,0,0,0,,,,,,
(5V22) (678) Southern Arizona HCS,"37,018","34,199",92.38%,"2,819",7.62%,"29,938","1,892","2,369","1,606",461,224,528,5.80,13.86,2.01,,,
"(5V22) (678) Tucson, AZ","27,224","24,600",90.36%,"2,624",9.64%,"21,191","1,466","1,943","1,473",420,214,517,8.05,15.53,1.85,,,
"(5V22) (678GA) Sierra Vista, AZ","1,741","1,689",97.01%,52,2.99%,"1,508",81,100,31,13,3,5,6.40,5.80,5.90,,,
"(5V22) (678GB) Yuma, AZ","2,121","2,114",99.67%,7,0.33%,"2,053",40,21,5,1,0,1,1.46,2.31,0.47,,,
"(5V22) (678GC) Casa Grande, AZ","1,502","1,453",96.74%,49,3.26%,"1,269",102,82,30,16,3,0,3.33,8.78,1.46,,,
"(5V22) (678GD) Safford, AZ",206,202,98.06%,4,1.94%,191,3,8,2,0,1,1,1.57,0.00,10.88,,,
"(5V22) (678GE) Green Valley, AZ",453,448,98.90%,5,1.10%,399,14,35,5,0,0,0,4.63,2.45,3.57,,,
"(5V22) (678GF) Northwest Tucson, AZ","1,952","1,894",97.03%,58,2.97%,"1,701",89,104,45,8,2,3,6.51,4.66,1.45,,,
"(5V22) (678GG) Southeast Tucson, AZ","1,819","1,799",98.90%,20,1.10%,"1,626",97,76,15,3,1,1,2.99,5.42,0.46,,,
"(5V22) (600) Long Beach, CA HCS","47,672","44,468",93.28%,"3,204",6.72%,"39,638","2,149","2,681","1,837",533,256,578,3.82,16.31,3.85,,,
"(5V22) (600) Long Beach, CA (Tibor Rubin)","40,564","37,602",92.70%,"2,962",7.30%,"33,235","1,890","2,477","1,690",481,231,560,4.40,16.43,4.21,,,
"(5V22) (600GA) Anaheim, CA",945,912,96.51%,33,3.49%,794,67,51,24,5,2,2,4.03,,10.14,,,
"(5V22) (600GB) Santa Ana, CA","2,435","2,260",92.81%,175,7.19%,"2,026",132,102,103,42,20,10,2.33,14.92,4.60,,,
"(5V22) (600GC) Cabrillo, CA",668,667,99.85%,1,0.15%,664,2,1,0,1,0,0,3.57,,0.21,,,
"(5V22) (600GD) Santa Fe Springs, CA","1,131","1,119",98.94%,12,1.06%,"1,079",26,14,9,1,1,1,2.98,,2.18,,,
"(5V22) (600GE) Laguna Hills, CA","1,146","1,130",98.60%,16,1.40%,"1,096",21,13,6,3,2,5,3.23,1.60,0.36,,,
"(5V22) (600GF) Gardena, CA",783,778,99.36%,5,0.64%,744,11,23,5,0,0,0,0.08,10.15,0.59,,,
"(5V22) (605) Loma Linda, CA HCS","42,590","39,704",93.22%,"2,886",6.78%,"34,631","2,189","2,884","1,970",473,194,249,3.07,9.76,4.82,,,
"(5V22) (605) Loma Linda, CA (Jerry L. Pettis)","18,050","16,562",91.76%,"1,488",8.24%,"14,336",962,"1,264",864,319,138,167,11.67,9.54,3.97,,,
"(5V22) (605BZ) Loma Linda Redlands, CA","17,034","15,816",92.85%,"1,218",7.15%,"13,554",917,"1,345",976,133,50,59,3.03,11.47,4.89,,,
"(5V22) (605GA) Victorville, CA","1,480","1,439",97.23%,41,2.77%,"1,297",63,79,29,8,3,1,1.23,0.00,7.13,,,
"(5V22) (605GB) Murrieta, CA","1,913","1,849",96.65%,64,3.35%,"1,653",108,88,50,6,1,7,2.66,4.57,7.41,,,
"(5V22) (605GC) Palm Desert, CA","1,702","1,689",99.24%,13,0.76%,"1,626",36,27,9,2,1,1,1.55,2.04,3.54,,,
"(5V22) (605GD) Corona, CA",839,807,96.19%,32,3.81%,707,59,41,24,2,1,5,3.30,2.72,4.53,,,
"(5V22) (605GE) Rancho Cucamonga, CA","1,572","1,542",98.09%,30,1.91%,"1,458",44,40,18,3,0,9,5.71,0.03,2.15,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2020",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(5V22) (664) San Diego, CA HCS","40,325","37,553",93.13%,"2,772",6.87%,"33,265","1,967","2,321","1,624",599,218,331,3.89,12.12,2.93,,,
"(5V22) (664) San Diego, CA","24,727","22,866",92.47%,"1,861",7.53%,"20,664",967,"1,235","1,073",407,146,235,3.61,12.13,1.13,,,
"(5V22) (664BY) Mission Valley, CA","6,018","5,759",95.70%,259,4.30%,"4,870",443,446,156,79,14,10,2.98,9.53,4.95,,,
"(5V22) (664GA) Imperial Valley, CA",136,134,98.53%,2,1.47%,129,5,0,0,1,0,1,0.21,,14.00,,,
"(5V22) (664GB) Oceanside, CA","5,442","4,989",91.68%,453,8.32%,"4,297",310,382,271,83,39,60,5.11,13.67,3.71,,,
"(5V22) (664GC) Chula Vista, CA","2,609","2,477",94.94%,132,5.06%,"2,170",151,156,71,25,12,24,4.99,13.30,3.19,,,
"(5V22) (664GD) Escondido, CA","1,055",990,93.84%,65,6.16%,797,91,102,53,4,7,1,4.74,0.00,8.43,,,
"(5V22) (664QA) Rio, CA",338,338,100.00%,0,0.00%,338,0,0,0,0,0,0,,,,,,
"(5V22) (691) Greater Los Angeles, CA HCS","45,103","42,402",94.01%,"2,701",5.99%,"37,501","2,236","2,665","1,656",523,218,304,2.93,10.46,4.07,,,
"(5V22) (691) West Los Angeles, CA","20,378","19,149",93.97%,"1,229",6.03%,"16,996",972,"1,181",817,209,121,82,1.57,8.52,4.16,,,
"(5V22) (691A4) Sepulveda, CA","9,724","8,862",91.14%,862,8.86%,"7,547",565,750,479,171,45,167,3.46,14.69,5.74,,,
"(5V22) (691GB) Santa Barbara, CA",693,692,99.86%,1,0.14%,640,39,13,0,1,0,0,1.23,21.67,0.94,,,
"(5V22) (691GD) Bakersfield, CA","2,120","2,084",98.30%,36,1.70%,"1,909",99,76,33,2,0,1,1.95,2.94,2.99,,,
"(5V22) (691GE) Los Angeles, CA","5,573","5,369",96.34%,204,3.66%,"4,970",166,233,124,36,11,33,2.31,8.27,3.09,,,
"(5V22) (691GF) East Los Angeles, CA",837,836,99.88%,1,0.12%,826,7,3,1,0,0,0,0.07,,0.66,,,
"(5V22) (691GG) Antelope Valley, CA","1,051","1,000",95.15%,51,4.85%,910,53,37,16,21,13,1,1.29,10.88,3.27,,,
"(5V22) (691GK) San Luis Obispo, CA","1,103","1,055",95.65%,48,4.35%,877,92,86,39,7,2,0,7.65,11.23,1.36,,,
"(5V22) (691GL) Santa Maria, CA","1,490","1,303",87.45%,187,12.55%,"1,124",83,96,83,67,24,13,4.06,27.78,2.60,,,
"(5V22) (691GM) Oxnard, CA","1,909","1,827",95.70%,82,4.30%,"1,505",150,172,64,9,2,7,6.23,5.89,5.73,,,
"(5V22) (691GP) San Gabriel Valley, CA",225,225,100.00%,0,0.00%,197,10,18,0,0,0,0,3.12,,1.66,,,
"(3V23) (437) Fargo, ND HCS","18,473","17,585",95.19%,888,4.81%,"16,233",646,706,462,161,111,154,2.51,11.32,2.90,,,
"(3V23) (437) Fargo, ND","12,155","11,381",93.63%,774,6.37%,"10,313",471,597,390,139,101,144,3.70,10.97,3.25,,,
"(3V23) (437GA) Grafton, ND",197,196,99.49%,1,0.51%,191,2,3,1,0,0,0,0.98,1.14,8.17,,,
"(3V23) (437GB) Bismarck, ND","1,322","1,259",95.23%,63,4.77%,"1,209",31,19,28,18,8,9,1.31,32.77,5.00,,,
"(3V23) (437GC) Fergus Falls, MN",523,521,99.62%,2,0.38%,512,8,1,1,0,0,1,2.01,5.40,0.14,,,
"(3V23) (437GD) Minot, ND",939,933,99.36%,6,0.64%,869,40,24,5,0,1,0,1.50,5.37,4.74,,,
"(3V23) (437GE) Bemidji, MN","1,192","1,184",99.33%,8,0.67%,"1,127",45,12,5,2,1,0,1.71,2.96,1.02,,,
"(3V23) (437GF) Williston, ND",463,439,94.82%,24,5.18%,406,13,20,23,1,0,0,6.00,21.10,23.50,,,
"(3V23) (437GI) Grand Forks, ND",591,589,99.66%,2,0.34%,570,12,7,1,1,0,0,1.00,2.37,0.65,,,
"(3V23) (437GJ) Dickinson, ND",560,557,99.46%,3,0.54%,544,5,8,3,0,0,0,1.54,7.50,0.00,,,
"(3V23) (437GK) Jamestown, ND",324,321,99.07%,3,0.93%,293,14,14,3,0,0,0,1.22,2.43,0.00,,,
"(3V23) (437GL) Devils Lake, ND",176,175,99.43%,1,0.57%,171,4,0,1,0,0,0,0.46,5.75,0.00,,,
"(3V23) (437QA) North Fargo, ND",31,30,96.77%,1,3.23%,28,1,1,1,0,0,0,3.00,,,,,
"(3V23) (438) Sioux Falls, SD HCS","15,416","14,359",93.14%,"1,057",6.86%,"12,736",796,827,554,255,103,145,9.56,10.31,3.33,,,
"(3V23) (438) Sioux Falls, SD (Royal C. Johnson)","11,930","11,125",93.25%,805,6.75%,"9,888",614,623,427,187,78,113,8.62,10.58,3.31,,,
"(3V23) (438GF) Watertown, SD",26,26,100.00%,0,0.00%,26,0,0,0,0,0,0,8.62,10.58,3.31,,,
"(3V23) (438GA) Spirit Lake, IA",860,757,88.02%,103,11.98%,636,57,64,36,42,16,9,17.47,8.94,7.93,,,
"(3V23) (438GC) Sioux City, SD","1,270","1,208",95.12%,62,4.88%,"1,107",55,46,31,9,3,19,6.92,10.53,1.44,,,
"(3V23) (438GD) Aberdeen, SD",554,508,91.70%,46,8.30%,458,26,24,34,10,1,1,6.10,1.34,1.61,,,
"(3V23) (438GE) Wagner, SD",157,139,88.54%,18,11.46%,118,9,12,9,2,4,3,15.34,8.40,,,,
"(3V23) (438GF) Watertown, SD",619,596,96.28%,23,3.72%,503,35,58,17,5,1,0,7.10,5.65,3.83,,,
"(3V23) (568) Black Hills, SD HCS","9,825","9,305",94.71%,520,5.29%,"8,627",372,306,218,110,66,126,5.51,15.80,2.65,,,
"(3V23) (568) Fort Meade, SD","4,230","3,971",93.88%,259,6.12%,"3,655",175,141,113,54,24,68,4.56,13.52,1.96,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date For the Reporting Period Ending:  December 2020",Total Completed Appointments 1,Completed within 30 Days 2,Percent Appts Complete d in 30 Days or Less 3,Completed in Over 30 Days 4,Percent Appts Complete d in Over 30 Days 5,"Completed 0-7 Days
6","Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in more than 120
Days 12",PC Avg Wait Time in Days 13,SC Avg Wait Time in Days 14,MH Avg Wait Time in Days 15,,,
"(3V23) (568A4) Hot Springs, SD","2,963","2,883",97.30%,80,2.70%,"2,777",58,48,40,8,9,23,2.84,18.28,1.91,,,
"(3V23) (568GA) Rapid City, SD","1,922","1,753",91.21%,169,8.79%,"1,531",125,97,56,47,32,34,9.32,29.90,4.41,,,
"(3V23) (568GB) Pierre, SD",199,199,100.00%,0,0.00%,198,1,0,0,0,0,0,0.02,0.00,1.00,,,
"(3V23) (568HA) Newcastle, WY",15,13,86.67%,2,13.33%,13,0,0,2,0,0,0,10.00,,,,,
"(3V23) (568HB) Gordon, NE",17,16,94.12%,1,5.88%,15,0,1,1,0,0,0,0.00,,,,,
"(3V23) (568HF) Pine Ridge, SD",3,3,100.00%,0,0.00%,3,0,0,0,0,0,0,0.00,,,,,
"(3V23) (568HH) Scottsbluff, NE",370,361,97.57%,9,2.43%,329,13,19,6,1,1,1,6.96,9.37,0.00,,,
