facility,,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(5V21) (612GH) McClellan Park, CA",,"7,959",,"7,625",,95.80%,,334,,4.20%,,"7,053",,343,,229,,268,,43,,10,,13,,2.53,,4.64,,1.81,,,
"(5V21) (612GI) Yuba City, CA",,"1,197",,"1,184",,98.91%,,13,,1.09%,,"1,138",,27,,19,,8,,3,,2,,0,,1.09,,22.5,,0.27,,,
"(5V21) (612GJ) Yreka, CA",,258,,242,,93.80%,,16,,6.20%,,221,,9,,12,,9,,4,,2,,1,,5.1,,9.5,,,,,
"(5V21) (612GK) Sierra Foothills, CA",,"1,135",,"1,115",,98.24%,,20,,1.76%,,959,,63,,93,,19,,1,,0,,0,,3.94,,5,,2.19,,,
(5V21) (612MA) IDES McClellan OPC,,15,,15,,100.00%,,0,,0.00%,,15,,0,,0,,0,,0,,0,,0,,,,0,,,,,
"(5V21) (612QB) Twenty First Street, CA",,"1,618",,"1,615",,99.81%,,3,,0.19%,,"1,588",,19,,8,,2,,1,,0,,0,,,,,,0.87,,,
"(5V21) (612QC) Cypress Avenue, CA",,"1,568",,"1,393",,88.84%,,175,,11.16%,,"1,001",,189,,203,,108,,34,,11,,22,,,,17.31,,,,,
"(5V21) (612QD) Howe Road, CA",,343,,343,,100.00%,,0,,0.00%,,342,,0,,1,,0,,0,,0,,0,,,,,,,,,
"(5V21) (640) Palo Alto, CA HCS",,"38,766",,"35,028",,90.36%,,"3,738",,9.64%,,"29,179",,"2,525",,"3,324",,"2,453",,703,,305,,277,,12.88,,11.36,,8.02,,,
"(5V21) (640) Palo Alto, CA",,"15,566",,"14,331",,92.07%,,"1,235",,7.93%,,"12,142",,976,,"1,213",,908,,215,,49,,63,,8.24,,9.48,,3.99,,,
"(5V21) (640A0) Menlo Park, CA",,"1,870",,"1,799",,96.20%,,71,,3.80%,,"1,594",,100,,105,,50,,11,,1,,9,,,,7.37,,4.85,,,
"(5V21) (640A4) Livermore, CA",,"5,887",,"5,127",,87.09%,,760,,12.91%,,"4,221",,352,,554,,464,,130,,73,,93,,7.56,,16.8,,9.35,,,
"(5V21) (640BY) San Jose, CA",,"3,920",,"3,538",,90.26%,,382,,9.74%,,"2,891",,301,,346,,218,,64,,71,,29,,14.69,,12.46,,8.63,,,
"(5V21) (640GA) Capitola, CA",,133,,88,,66.17%,,45,,33.83%,,56,,6,,26,,23,,18,,4,,0,,25.8,,,,0,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries. Wait Time Measured from Preferred Date For the Reporting Period Ending: December 2019",,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(5V21) (640GB) Sonora, CA",,"1,122",,995,,88.68%,,127,,11.32%,,875,,52,,68,,49,,49,,19,,10,,14.96,,10.78,,7.53,,,
"(5V21) (640GC) Fremont, CA",,822,,765,,93.07%,,57,,6.93%,,650,,55,,60,,44,,11,,0,,2,,7.6,,8,,11.28,,,
"(5V21) (640HA) Stockton, CA",,"2,116",,"1,826",,86.29%,,290,,13.71%,,"1,495",,141,,190,,171,,69,,23,,27,,15.37,,12.32,,16.96,,,
"(5V21) (640HB) Modesto, CA",,"2,675",,"2,354",,88.00%,,321,,12.00%,,"1,880",,175,,299,,196,,69,,25,,31,,18.44,,9.07,,10.67,,,
"(5V21) (640HC) Monterey, CA (Major General William H. Gourley)",,"4,615",,"4,165",,90.25%,,450,,9.75%,,"3,335",,367,,463,,330,,67,,40,,13,,13.45,,10.52,,3.18,,,
"(5V21) (640QA) Palo Alto 1, CA - Mobile",,38,,38,,100.00%,,0,,0.00%,,38,,0,,0,,0,,0,,0,,0,,,,0.03,,,,,
"(5V21) (640QB) Palo Alto 2, CA - Mobile",,2,,2,,100.00%,,0,,0.00%,,2,,0,,0,,0,,0,,0,,0,,,,0,,,,,
"(5V21) (654) Reno, NV HCS",,"23,276",,"21,737",,93.39%,,"1,539",,6.61%,,"18,873",,"1,188",,"1,676",,"1,073",,329,,66,,71,,8.9,,8.54,,5.68,,,
"(5V21) (654) Reno, NV (Ioannis A. Lougaris)",,"17,102",,"16,035",,93.76%,,"1,067",,6.24%,,"14,047",,834,,"1,154",,795,,187,,44,,41,,9.96,,7.66,,5.6,,,
"(5V21) (654GB) Carson Valley, NV",,864,,808,,93.52%,,56,,6.48%,,686,,55,,67,,28,,15,,3,,10,,8.86,,8.58,,4.79,,,
"(5V21) (654GC) Lahontan Valley, NV",,589,,559,,94.91%,,30,,5.09%,,458,,42,,59,,20,,7,,1,,2,,5.93,,15.9,,6.19,,,
"(5V21) (654GD) Diamond View, CA",,292,,273,,93.49%,,19,,6.51%,,237,,13,,23,,12,,4,,0,,3,,8.92,,10.06,,4.19,,,
"(5V21) (654GE) Reno East, NV",,"2,333",,"2,227",,95.46%,,106,,4.54%,,"2,019",,96,,112,,69,,21,,9,,7,,7.69,,5.78,,9.25,,,
"(5V21) (654QA) Kietzke, NV",,"1,246",,"1,058",,84.91%,,188,,15.09%,,776,,96,,186,,105,,75,,5,,3,,,,13.06,,,,,
"(5V21) (654QB) Capitol Hill, NV",,24,,24,,100.00%,,0,,0.00%,,24,,0,,0,,0,,0,,0,,0,,,,,,,,,
"(5V21) (654QC) Winnemucca, NV",,70,,56,,80.00%,,14,,20.00%,,38,,7,,11,,8,,6,,0,,0,,17.65,,27.22,,0,,,
"(5V21) (654QD) Virginia Street, NV",,756,,697,,92.20%,,59,,7.80%,,588,,45,,64,,36,,14,,4,,5,,,,8.39,,,,,
"(5V21) (662) San Francisco, CA HCS",,"29,487",,"26,849",,91.05%,,"2,638",,8.95%,,"23,405",,"1,592",,"1,852",,"1,556",,622,,230,,230,,8.15,,13.51,,5.24,,,
"(5V21) (662) San Francisco, CA",,"19,600",,"18,026",,91.97%,,"1,574",,8.03%,,"16,103",,877,,"1,046",,951,,329,,140,,154,,4.84,,13.28,,2.76,,,
"(5V21) (662GA) Santa Rosa, CA",,"4,157",,"3,590",,86.36%,,567,,13.64%,,"2,963",,259,,368,,301,,148,,64,,54,,12.45,,16.84,,11.65,,,
"(5V21) (662GC) Eureka, CA",,"1,817",,"1,609",,88.55%,,208,,11.45%,,"1,320",,146,,143,,119,,62,,14,,13,,11.49,,12.61,,5.42,,,
"(5V21) (662GD) Ukiah, CA",,"1,084",,"1,013",,93.45%,,71,,6.55%,,844,,91,,78,,48,,17,,2,,4,,7.13,,8.26,,9.43,,,
"(5V21) (662GE) San Bruno, CA",,"1,022",,933,,91.29%,,89,,8.71%,,810,,62,,61,,53,,28,,6,,2,,11.08,,7.98,,4.01,,,
"(5V21) (662GF) San Francisco Downtown, CA",,726,,718,,98.90%,,8,,1.10%,,650,,51,,17,,6,,0,,0,,2,,2.68,,11.12,,3.35,,,
"(5V21) (662GG) Clearlake, CA",,"1,081",,960,,88.81%,,121,,11.19%,,715,,106,,139,,78,,38,,4,,1,,10.24,,9.16,,18.18,,,
"(5V21) (593) Las Vegas, NV HCS",,"50,641",,"46,281",,91.39%,,"4,360",,8.61%,,"39,695",,"2,919",,"3,667",,"2,959",,801,,330,,270,,4.45,,13.54,,3.86,,,
"(5V21) (593) North Las Vegas, NV",,"33,348",,"29,467",,88.36%,,"3,881",,11.64%,,"24,295",,"2,170",,"3,002",,"2,620",,725,,300,,236,,10,,13.71,,3.39,,,
"(5V21) (593GC) Pahrump, NV",,"1,039",,"1,029",,99.04%,,10,,0.96%,,995,,20,,14,,5,,3,,2,,0,,0.46,,7.42,,1.7,,,
"(5V21) (593GD) Northwest Las Vegas, NV",,"4,268",,"4,146",,97.14%,,122,,2.86%,,"3,795",,179,,172,,85,,24,,7,,6,,4.08,,8.27,,3.36,,,
"(5V21) (593GE) Southeast Las Vegas, NV",,"3,692",,"3,594",,97.35%,,98,,2.65%,,"3,253",,181,,160,,72,,13,,9,,4,,3.32,,8.32,,4.39,,,
"(5V21) (593GF) Southwest Las Vegas, NV",,"4,413",,"4,262",,96.58%,,151,,3.42%,,"3,839",,239,,184,,96,,22,,11,,22,,5.07,,7.52,,5.21,,,
"(5V21) (593GG) Northeast Las Vegas, NV",,"3,232",,"3,170",,98.08%,,62,,1.92%,,"2,966",,100,,104,,56,,5,,0,,1,,1.93,,3.34,,3.23,,,
"(5V21) (593GH) Laughlin, NV (Master Chief Petty Officer Jesse Dean)",,483,,448,,92.75%,,35,,7.25%,,394,,24,,30,,24,,9,,1,,1,,3.93,,9.95,,11.25,,,
"(5V21) (593QC) West Cheyenne, NV",,166,,165,,99.40%,,1,,0.60%,,158,,6,,1,,1,,0,,0,,0,,,,,,1.25,,,
(5V22) (501) New Mexico HCS,,"33,146",,"30,290",,91.38%,,"2,856",,8.62%,,"26,353",,"1,815",,"2,122",,"1,583",,622,,278,,373,,7.95,,12.08,,7.4,,,
"(5V22) (501) Albuquerque, NM (Raymond G. Murphy)",,"26,769",,"24,301",,90.78%,,"2,468",,9.22%,,"21,220",,"1,396",,"1,685",,"1,355",,542,,251,,320,,9.75,,12.08,,5.51,,,
"(5V22) (501G2) Las Vegas, NM",,223,,216,,96.86%,,7,,3.14%,,203,,5,,8,,3,,1,,1,,2,,1.55,,0,,20.76,,,
"(5V22) (501GA) Artesia, NM",,452,,441,,97.57%,,11,,2.43%,,383,,27,,31,,10,,0,,0,,1,,3.82,,0,,6.44,,,
"(5V22) (501GB) Farmington, NM",,757,,678,,89.56%,,79,,10.44%,,546,,60,,72,,52,,17,,7,,3,,6.84,,0,,31.11,,,
"(5V22) (501GC) Silver City, NM",,395,,391,,98.99%,,4,,1.01%,,359,,17,,15,,3,,1,,0,,0,,2.4,,0,,4.25,,,
"(5V22) (501GD) Gallup, NM",,310,,251,,80.97%,,59,,19.03%,,183,,43,,25,,36,,20,,0,,3,,14.82,,0,,37.95,,,
"(5V22) (501GE) Espanola, NM",,282,,263,,93.26%,,19,,6.74%,,201,,28,,34,,12,,2,,2,,3,,9.53,,5,,2.41,,,
"(5V22) (501GH) Truth or Consequences, NM",,404,,393,,97.28%,,11,,2.72%,,374,,7,,12,,6,,3,,1,,1,,2.8,,0,,6.56,,,
"(5V22) (501GI) Alamogordo, NM",,458,,422,,92.14%,,36,,7.86%,,358,,28,,36,,26,,3,,3,,4,,8.24,,1.4,,11.45,,,
"(5V22) (501GJ) Durango, CO",,435,,433,,99.54%,,2,,0.46%,,418,,7,,8,,2,,0,,0,,0,,1.27,,0,,1.84,,,
"(5V22) (501GK) Santa Fe, NM",,832,,803,,96.51%,,29,,3.49%,,746,,31,,26,,17,,7,,3,,2,,1.87,,0,,9.1,,,
"(5V22) (501GM) Northwest Metro, NM",,"1,366",,"1,255",,91.87%,,111,,8.13%,,929,,163,,163,,53,,22,,7,,29,,11.85,,14.98,,16.4,,,
"(5V22) (501GN) Taos, NM",,271,,258,,95.20%,,13,,4.80%,,251,,3,,4,,5,,3,,2,,3,,5.45,,0.2,,14.52,,,
"(5V22) (501HB) Raton, NM",,192,,185,,96.35%,,7,,3.65%,,182,,0,,3,,3,,1,,1,,2,,0.49,,0,,34.27,,,
"(5V22) (644) Phoenix, AZ HCS",,"59,538",,"55,837",,93.78%,,"3,701",,6.22%,,"47,911",,"3,372",,"4,554",,"2,680",,738,,154,,129,,4.17,,8.58,,4.85,,,
"(5V22) (644) Phoenix, AZ (Carl T. Hayden)",,"35,894",,"32,988",,91.90%,,"2,906",,8.10%,,"27,696",,"2,081",,"3,211",,"2,122",,566,,119,,99,,5.69,,8.83,,4.67,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries. Wait Time Measured from Preferred Date For the Reporting Period Ending: December 2019",,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(5V22) (644BY) Southeast Gilbert, AZ",,"9,319",,"8,945",,95.99%,,374,,4.01%,,"7,717",,521,,707,,236,,93,,27,,18,,4.08,,8.04,,7.07,,,
"(5V22) (644GA) Northwest Surprise, AZ",,"4,924",,"4,736",,96.18%,,188,,3.82%,,"4,450",,173,,113,,143,,44,,1,,0,,2.04,,7.39,,3.85,,,
"(5V22) (644GB) Show Low, AZ",,881,,859,,97.50%,,22,,2.50%,,752,,62,,45,,19,,0,,3,,0,,3.2,,3.24,,6.81,,,
"(5V22) (644GC) Southwest Phoenix, AZ",,"1,469",,"1,433",,97.55%,,36,,2.45%,,"1,274",,96,,63,,28,,6,,2,,0,,2.47,,4.33,,6.18,,,
"(5V22) (644GD) Payson, AZ",,369,,338,,91.60%,,31,,8.40%,,300,,11,,27,,18,,7,,0,,6,,12.17,,,,14.75,,,
"(5V22) (644GE) Thunderbird, AZ",,"1,649",,"1,610",,97.63%,,39,,2.37%,,"1,437",,95,,78,,27,,11,,0,,1,,4.73,,4.19,,2.28,,,
"(5V22) (644GF) Globe, AZ",,200,,193,,96.50%,,7,,3.50%,,180,,5,,8,,6,,1,,0,,0,,2.19,,13.25,,7.16,,,
"(5V22) (644GG) Northeast Phoenix, AZ",,968,,950,,98.14%,,18,,1.86%,,834,,50,,66,,10,,6,,0,,2,,3.59,,3.12,,7.31,,,
"(5V22) (644GH) Phoenix Midtown, AZ",,"3,826",,"3,746",,97.91%,,80,,2.09%,,"3,232",,278,,236,,71,,4,,2,,3,,4.58,,4.44,,1.29,,,
"(5V22) (644QA) Phoenix East Thomas Road, AZ",,39,,39,,100.00%,,0,,0.00%,,39,,0,,0,,0,,0,,0,,0,,,,,,,,,
(5V22) (649) Northern Arizona HCS,,"13,451",,"12,730",,94.64%,,721,,5.36%,,"11,023",,828,,879,,499,,104,,44,,74,,6.72,,10,,4.46,,,
"(5V22) (649) Prescott, AZ (Bob Stump)",,"9,214",,"8,675",,94.15%,,539,,5.85%,,"7,565",,534,,576,,391,,71,,32,,45,,6.45,,10.22,,3.25,,,
"(5V22) (649GA) Kingman, AZ",,"1,048",,"1,002",,95.61%,,46,,4.39%,,898,,44,,60,,31,,6,,1,,8,,8.9,,3.93,,3.98,,,
"(5V22) (649GB) Flagstaff, AZ",,778,,707,,90.87%,,71,,9.13%,,563,,50,,94,,37,,17,,7,,10,,12.51,,6.42,,12.71,,,
"(5V22) (649GC) Lake Havasu City, AZ",,"1,080",,"1,059",,98.06%,,21,,1.94%,,868,,115,,76,,12,,7,,0,,2,,4.03,,12.43,,4.86,,,
"(5V22) (649GD) Anthem, AZ",,565,,559,,98.94%,,6,,1.06%,,475,,39,,45,,6,,0,,0,,0,,4.68,,10.6,,3.69,,,
"(5V22) (649GE) Cottonwood, AZ",,585,,561,,95.90%,,24,,4.10%,,514,,29,,18,,8,,3,,4,,9,,5.85,,2.6,,9.08,,,
"(5V22) (649QA) Chinle, AZ",,68,,56,,82.35%,,12,,17.65%,,47,,7,,2,,12,,0,,0,,0,,10.98,,,,4.38,,,
"(5V22) (649QB) Holbrook, AZ",,37,,36,,97.30%,,1,,2.70%,,23,,5,,8,,1,,0,,0,,0,,7.48,,,,9.62,,,
"(5V22) (649QD) Page, AZ",,28,,28,,100.00%,,0,,0.00%,,23,,5,,0,,0,,0,,0,,0,,2.12,,,,4,,,
"(5V22) (649QF) Tuba City, AZ",,21,,21,,100.00%,,0,,0.00%,,21,,0,,0,,0,,0,,0,,0,,0,,,,0,,,
"(5V22) (649QG) Polacca, AZ",,1,,0,,0.00%,,1,,100.00%,,0,,0,,0,,1,,0,,0,,0,,,,,,53,,,
"(5V22) (649QH) Kayenta, AZ",,26,,26,,100.00%,,0,,0.00%,,26,,0,,0,,0,,0,,0,,0,,0,,,,0.43,,,
(5V22) (678) Southern Arizona HCS,,"39,961",,"37,554",,93.98%,,"2,407",,6.02%,,"32,902",,"2,099",,"2,553",,"1,681",,412,,153,,161,,3.64,,8.93,,2.85,,,
"(5V22) (678) Tucson, AZ",,"30,060",,"27,809",,92.51%,,"2,251",,7.49%,,"23,955",,"1,660",,"2,194",,"1,546",,402,,147,,156,,5.46,,9.64,,2.95,,,
"(5V22) (678GA) Sierra Vista, AZ",,"1,884",,"1,834",,97.35%,,50,,2.65%,,"1,677",,92,,65,,46,,3,,0,,1,,1.72,,6.08,,3.66,,,
"(5V22) (678GB) Yuma, AZ",,"1,729",,"1,720",,99.48%,,9,,0.52%,,"1,648",,44,,28,,7,,0,,1,,1,,1.22,,2.75,,1.08,,,
"(5V22) (678GC) Casa Grande, AZ",,"1,838",,"1,780",,96.84%,,58,,3.16%,,"1,585",,97,,98,,50,,4,,3,,1,,2.55,,6.17,,4.76,,,
"(5V22) (678GD) Safford, AZ",,324,,314,,96.91%,,10,,3.09%,,292,,7,,15,,7,,1,,2,,0,,4.06,,16.43,,3.95,,,
"(5V22) (678GE) Green Valley, AZ",,402,,399,,99.25%,,3,,0.75%,,367,,17,,15,,3,,0,,0,,0,,3.19,,1.8,,0.78,,,
"(5V22) (678GF) Northwest Tucson, AZ",,"2,085",,"2,073",,99.42%,,12,,0.58%,,"1,910",,80,,83,,11,,1,,0,,0,,1.8,,3.83,,1.19,,,
"(5V22) (678GG) Southeast Tucson, AZ",,"1,604",,"1,590",,99.13%,,14,,0.87%,,"1,434",,102,,54,,11,,1,,0,,2,,3.02,,5.48,,1.29,,,
(5V22) (678MA) IDES Davis-Monthan AFB,,9,,9,,100.00%,,0,,0.00%,,9,,0,,0,,0,,0,,0,,0,,,,0,,0,,,
(5V22) (678MB) IDES Fort Huachuca,,17,,17,,100.00%,,0,,0.00%,,16,,0,,1,,0,,0,,0,,0,,,,1.29,,0,,,
"(5V22) (678QB) Pinal County, AZ",,9,,9,,100.00%,,0,,0.00%,,9,,0,,0,,0,,0,,0,,0,,,,,,,,,
"(5V22) (600) Long Beach, CA HCS",,"50,620",,"47,672",,94.18%,,"2,948",,5.82%,,"42,170",,"2,494",,"3,008",,"1,987",,571,,187,,203,,5.44,,8.56,,5.9,,,
"(5V22) (600) Long Beach, CA (Tibor Rubin)",,"43,264",,"40,681",,94.03%,,"2,583",,5.97%,,"35,928",,"2,107",,"2,646",,"1,740",,500,,157,,186,,5.52,,8.44,,5.13,,,
"(5V22) (600GA) Anaheim, CA",,"1,110",,998,,89.91%,,112,,10.09%,,860,,57,,81,,81,,25,,2,,4,,5.22,,8.38,,17.68,,,
"(5V22) (600GB) Santa Ana, CA",,"2,706",,"2,567",,94.86%,,139,,5.14%,,"2,216",,166,,185,,92,,27,,12,,8,,3.74,,11.25,,5.73,,,
"(5V22) (600GC) Cabrillo, CA",,"1,261",,"1,261",,100.00%,,0,,0.00%,,"1,248",,6,,7,,0,,0,,0,,0,,4.51,,,,1.15,,,
"(5V22) (600GD) Santa Fe Springs, CA",,"1,125",,"1,089",,96.80%,,36,,3.20%,,994,,59,,36,,27,,5,,4,,0,,2.98,,20.23,,4.89,,,
"(5V22) (600GE) Laguna Hills, CA",,"1,154",,"1,076",,93.24%,,78,,6.76%,,924,,99,,53,,47,,14,,12,,5,,9.96,,7.16,,7.6,,,
"(5V22) (605) Loma Linda, CA HCS",,"49,812",,"46,613",,93.58%,,"3,199",,6.42%,,"40,454",,"2,804",,"3,355",,"2,360",,473,,213,,153,,2.72,,8.98,,6.51,,,
"(5V22) (605) Loma Linda, CA (Jerry L. Pettis)",,"22,211",,"20,458",,92.11%,,"1,753",,7.89%,,"17,429",,"1,428",,"1,601",,"1,204",,288,,161,,100,,1.69,,9.08,,5.14,,,
"(5V22) (605BZ) Loma Linda Redlands, CA",,"19,211",,"18,057",,93.99%,,"1,154",,6.01%,,"15,788",,946,,"1,323",,919,,147,,46,,42,,3.73,,9,,5.05,,,
"(5V22) (605GA) Victorville, CA",,"1,488",,"1,409",,94.69%,,79,,5.31%,,"1,205",,106,,98,,72,,6,,0,,1,,1.38,,15.2,,10.95,,,
"(5V22) (605GB) Murrieta, CA",,"2,034",,"1,924",,94.59%,,110,,5.41%,,"1,722",,93,,109,,78,,21,,5,,6,,2.94,,10.17,,14.67,,,
"(5V22) (605GC) Palm Desert, CA",,"2,246",,"2,193",,97.64%,,53,,2.36%,,"1,995",,88,,110,,43,,7,,1,,2,,0.89,,4.4,,6.44,,,
"(5V22) (605GD) Corona, CA",,963,,948,,98.44%,,15,,1.56%,,855,,42,,51,,15,,0,,0,,0,,0.48,,18.62,,7.88,,,
"(5V22) (605GE) Rancho Cucamonga, CA",,"1,629",,"1,594",,97.85%,,35,,2.15%,,"1,434",,99,,61,,29,,4,,0,,2,,1.8,,5.68,,6.78,,,
"(5V22) (605QA) Blythe, CA",,30,,30,,100.00%,,0,,0.00%,,26,,2,,2,,0,,0,,0,,0,,3.95,,,,0,,,
"(5V22) (664) San Diego, CA HCS",,"49,816",,"46,540",,93.42%,,"3,276",,6.58%,,"40,912",,"2,495",,"3,133",,"2,149",,703,,247,,177,,4.3,,8.95,,4.37,,,
"(5V22) (664) San Diego, CA",,"30,814",,"28,545",,92.64%,,"2,269",,7.36%,,"25,515",,"1,360",,"1,670",,"1,386",,537,,194,,152,,5.38,,9.02,,2.88,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries. Wait Time Measured from Preferred Date For the Reporting Period Ending: December 2019",,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(5V22) (664BU) San Diego, CA - VADOM",,102,,102,,100.00%,,0,,0.00%,,102,,0,,0,,0,,0,,0,,0,,,,,,,,,
"(5V22) (664BY) Mission Valley, CA",,"7,988",,"7,571",,94.78%,,417,,5.22%,,"6,205",,623,,743,,326,,65,,16,,10,,4.64,,8.06,,7.35,,,
"(5V22) (664GA) Imperial Valley, CA",,542,,517,,95.39%,,25,,4.61%,,435,,44,,38,,16,,6,,3,,0,,3.48,,21.89,,3.64,,,
"(5V22) (664GB) Oceanside, CA",,"7,054",,"6,597",,93.52%,,457,,6.48%,,"5,675",,355,,567,,353,,64,,26,,14,,3.93,,9.46,,3.03,,,
"(5V22) (664GC) Chula Vista, CA",,"1,881",,"1,802",,95.80%,,79,,4.20%,,"1,642",,76,,84,,46,,25,,7,,1,,3.19,,7.27,,6.97,,,
"(5V22) (664GD) Escondido, CA",,"1,059",,"1,030",,97.26%,,29,,2.74%,,963,,37,,30,,22,,6,,1,,0,,1.47,,14.33,,3.76,,,
"(5V22) (664QA) Rio, CA",,376,,376,,100.00%,,0,,0.00%,,375,,0,,1,,0,,0,,0,,0,,,,,,0,,,
"(5V22) (691) Greater Los Angeles, CA HCS",,"55,804",,"51,341",,92.00%,,"4,463",,8.00%,,"44,977",,"2,831",,"3,533",,"3,128",,932,,253,,150,,5.41,,10.03,,5.43,,,
"(5V22) (691) West Los Angeles, CA",,"24,570",,"22,640",,92.14%,,"1,930",,7.86%,,"19,768",,"1,249",,"1,623",,"1,405",,388,,89,,48,,4.1,,9.27,,4.41,,,
"(5V22) (691A4) Sepulveda, CA",,"12,836",,"11,569",,90.13%,,"1,267",,9.87%,,"10,026",,678,,865,,765,,315,,107,,80,,4.87,,12.8,,7.24,,,
"(5V22) (691GB) Santa Barbara, CA",,697,,695,,99.71%,,2,,0.29%,,650,,28,,17,,2,,0,,0,,0,,0.63,,7.14,,2.01,,,
"(5V22) (691GC) Gardena, CA",,443,,442,,99.77%,,1,,0.23%,,440,,1,,1,,1,,0,,0,,0,,0.42,,0.09,,0,,,
"(5V22) (691GD) Bakersfield, CA",,"2,772",,"2,649",,95.56%,,123,,4.44%,,"2,294",,198,,157,,89,,32,,2,,0,,4.76,,6.9,,2.99,,,
"(5V22) (691GE) Los Angeles, CA",,"7,305",,"6,820",,93.36%,,485,,6.64%,,"6,288",,222,,310,,400,,57,,16,,12,,6.16,,7.86,,4.76,,,
"(5V22) (691GF) East Los Angeles, CA",,892,,865,,96.97%,,27,,3.03%,,848,,7,,10,,21,,6,,0,,0,,0.47,,0,,3.88,,,
"(5V22) (691GG) Antelope Valley, CA",,768,,663,,86.33%,,105,,13.67%,,574,,35,,54,,81,,13,,11,,0,,15.28,,6.95,,1.71,,,
"(5V22) (691GK) San Luis Obispo, CA",,"1,106",,"1,074",,97.11%,,32,,2.89%,,918,,88,,68,,16,,8,,5,,3,,3.72,,6.25,,7.42,,,
"(5V22) (691GL) Santa Maria, CA",,"2,186",,"1,960",,89.66%,,226,,10.34%,,"1,600",,133,,227,,180,,35,,5,,6,,7.06,,13.47,,8.45,,,
"(5V22) (691GM) Oxnard, CA",,"2,068",,"1,812",,87.62%,,256,,12.38%,,"1,461",,163,,188,,160,,78,,17,,1,,13.41,,8.98,,9.2,,,
"(5V22) (691GO) San Gabriel, CA (Pasadena)",,41,,33,,80.49%,,8,,19.51%,,25,,2,,6,,8,,0,,0,,0,,11.28,,,,13.08,,,
"(5V22) (691GP) San Gabriel Valley, CA",,120,,119,,99.17%,,1,,0.83%,,85,,27,,7,,0,,0,,1,,0,,4.32,,,,7.65,,,
"(3V23) (437) Fargo, ND HCS",,"18,402",,"18,011",,97.88%,,391,,2.12%,,"16,790",,606,,615,,281,,68,,22,,20,,1.62,,4.7,,3.08,,,
"(3V23) (437) Fargo, ND",,"11,750",,"11,411",,97.11%,,339,,2.89%,,"10,475",,431,,505,,240,,65,,19,,15,,2.19,,4.77,,3.86,,,
"(3V23) (437GA) Grafton, ND",,218,,218,,100.00%,,0,,0.00%,,216,,2,,0,,0,,0,,0,,0,,0.15,,1.5,,0.18,,,
"(3V23) (437GB) Bismarck, ND",,"1,568",,"1,540",,98.21%,,28,,1.79%,,"1,448",,52,,40,,21,,2,,2,,3,,1.95,,6.61,,3.45,,,
"(3V23) (437GC) Fergus Falls, MN",,509,,508,,99.80%,,1,,0.20%,,493,,9,,6,,1,,0,,0,,0,,1.02,,0.68,,0.86,,,
"(3V23) (437GD) Minot, ND",,"1,041",,"1,030",,98.94%,,11,,1.06%,,970,,23,,37,,9,,0,,1,,1,,2.49,,3.26,,3.3,,,
"(3V23) (437GE) Bemidji, MN",,"1,147",,"1,144",,99.74%,,3,,0.26%,,"1,114",,21,,9,,3,,0,,0,,0,,0.72,,0.71,,1.89,,,
"(3V23) (437GF) Williston, ND",,447,,445,,99.55%,,2,,0.45%,,425,,17,,3,,1,,0,,0,,1,,1.15,,1.5,,0.61,,,
