facility,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V11) (583GA) Terre Haute,,"1,348","1,347",,,99.93%,1,0.07%,"1,315",,24,8,1,0,0,0,0,2.30,1,
(V11) (583GB) Bloomington,,"1,275","1,271",,,99.69%,4,0.31%,"1,215",,36,20,3,0,0,1,1,3.50,2,
(V11) (583GC) Martinsville,,595,595,,,100.00%,0,0.00%,587,,5,3,0,0,0,0,0.40,0,0,
"(V11) (610) Northern Indiana HCS, IN",,"28,242","28,043",,,99.30%,199,0.70%,"24,899",,"1,613","1,531",191,7,1,0,3,5,1.10,
(V11) (610) Marion VAMC,,"7,958","7,922",,,99.55%,36,0.45%,"6,937",,530,455,32,4,0,0,4,5,1,
(V11) (610A4) Fort Wayne VAMC,,"11,248","11,126",,,98.92%,122,1.08%,"9,648",,712,766,118,3,1,0,4,5,0,
(V11) (610BU) Marion VADOM,,51,51,,,100.00%,0,0.00%,51,,0,0,0,0,0,0,,,,
(V11) (610GA) South Bend,,"2,976","2,965",,,99.63%,11,0.37%,"2,858",,81,26,11,0,0,0,2,0,1,
(V11) (610GB) Muncie,,"1,848","1,837",,,99.40%,11,0.60%,"1,539",,141,157,11,0,0,0,4.70,1,4,
(V11) (610GC) Goshen,,"1,066","1,066",,,100.00%,0,0.00%,"1,015",,41,10,0,0,0,0,1.60,,1.00,
(V11) (610GD) Peru,,"1,093","1,074",,,98.26%,19,1.74%,885,,83,106,19,0,0,0,6,0,0,
(V11) (610QA) Fort Wayne VA Clinic,,"2,002","2,002",,,100.00%,0,0.00%,"1,966",,25,11,0,0,0,0,,,0.60,
"(V11) (655) Saginaw, MI",,"21,748","21,030",,,96.70%,718,3.30%,"18,820",,"1,063","1,147",408,244,63,3,2,8,2,
(V11) (655) Aleda E Lutz VAMC,,"14,205","13,514",,,95.14%,691,4.86%,"12,042",,656,816,392,233,63,3,2,9,3,
(V11) (655GA) Gaylord,,"1,045","1,044",,,99.90%,1,0.10%,990,,34,20,1,0,0,0,1,2,0,
(V11) (655GB) Traverse City,,"1,312","1,308",,,99.70%,4,0.30%,"1,128",,106,74,4,0,0,0,3,5,2,
(V11) (655GC) Oscoda,,539,536,,,99.44%,3,0.56%,473,,37,26,3,0,0,0,2,3,2,
"(V11) (655GD) Lt Col Clement Van
Wagoner VA Clinic",,752,749,,,99.60%,3,0.40%,708,,28,13,3,0,0,0,0.40,1,2,
(V11) (655GE) Clare,,"1,373","1,371",,,99.85%,2,0.15%,"1,181",,92,98,2,0,0,0,2,4,3,
(V11) (655GF) Bad Axe,,685,685,,,100.00%,0,0.00%,662,,15,8,0,0,0,0,1,0,2.50,
(V11) (655GG) Cadillac,,767,754,,,98.31%,13,1.69%,692,,25,37,2,11,0,0,1,10,1.80,
(V11) (655GH) Cheboygan,,486,486,,,100.00%,0,0.00%,468,,9,9,0,0,0,0,1,1,0.60,
(V11) (655GI) Grayling,,584,583,,,99.83%,1,0.17%,476,,61,46,1,0,0,0,4,2,4,
"(V12) (537) Jesse Brown VAMC (Chicago), IL",,"35,786","34,636",,,96.79%,"1,150",3.21%,"30,914",,"1,649","2,073",850,225,73,2,4,6,3,
(V12) (537) Jesse Brown VAMC,,"26,886","26,008",,,96.73%,878,3.27%,"23,565",,"1,011","1,432",640,170,66,2,3.70,4.90,1,
"(V12) (537BY) Adam Benjamin Jr VA
OPC",,"6,515","6,249",,,95.92%,266,4.08%,"5,354",,471,424,205,54,7,0,3,11,4,
(V12) (537GA) Chicago Heights,,653,651,,,99.69%,2,0.31%,527,,65,59,2,0,0,0,3,0.00,6,
(V12) (537GD) Lakeside,,"1,202","1,198",,,99.67%,4,0.33%,"1,097",,52,49,3,1,0,0,2,,0,
(V12) (537HA) Auburn Gresham,,530,530,,,100.00%,0,0.00%,371,,50,109,0,0,0,0,8,0.00,3,
(V12) (556) Captain James A Lovell FHCC,,"29,047","28,964",,,99.71%,83,0.29%,"27,428",,919,617,77,6,0,0,2,2,1,
"(V12) (556) Captain James A Lovell
FHCC",,"25,457","25,377",,,99.69%,80,0.31%,"24,101",,795,481,74,6,0,0,2,2,1,
(V12) (556GA) Evanston,,565,564,,,99.82%,1,0.18%,542,,14,8,1,0,0,0,1,6,1,
(V12) (556GC) McHenry,,"1,885","1,885",,,100.00%,0,0.00%,"1,708",,75,102,0,0,0,0,2,7,1,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2015",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V12) (556GD) Kenosha,,"1,140","1,138",,,99.82%,2,0.18%,"1,077",,35,26,2,0,0,0,1,7,2,
"(V12) (578) Hines, IL",,"44,764","42,151",,,94.16%,"2,613",5.84%,"37,113",,"2,286","2,752","1,876",629,94,14,6,8,4,
"(V12) (578) Edward Hines Junior
Hospital",,"35,682","33,576",,,94.10%,"2,106",5.90%,"29,898",,"1,681","1,997","1,467",545,81,13,6,8,4,
(V12) (578GA) Joliet,,"2,693","2,470",,,91.72%,223,8.28%,"2,087",,131,252,190,28,4,1,6,11,6.00,
(V12) (578GC) Kankakee County,,"1,035",975,,,94.20%,60,5.80%,861,,60,54,52,8,0,0,2,11,5,
(V12) (578GD) Aurora,,"1,495","1,441",,,96.39%,54,3.61%,"1,141",,136,164,46,6,2,0,7,6,3,
(V12) (578GE) Elgin,,"1,108","1,039",,,93.77%,69,6.23%,839,,82,118,51,13,5,0,9,8,6,
(V12) (578GF) LaSalle,,"1,192","1,150",,,96.48%,42,3.52%,"1,006",,88,56,22,18,2,0,3,5,5.70,
(V12) (578GG) Oak Lawn,,"1,559","1,500",,,96.22%,59,3.78%,"1,281",,108,111,48,11,0,0,5,5,4,
"(V12) (585) Iron Mountain, MI",,"10,237","10,107",,,98.73%,130,1.27%,"9,045",,570,492,91,38,0,1,2,4,1,
(V12) (585) Oscar G Johnson VAMC,,"6,574","6,465",,,98.34%,109,1.66%,"5,598",,434,433,71,37,0,1,3,5,1,
(V12) (585GA) Hancock,,480,474,,,98.75%,6,1.25%,449,,18,7,6,0,0,0,1,8,1,
(V12) (585GB) Rhinelander,,"1,057","1,053",,,99.62%,4,0.38%,975,,62,16,4,0,0,0,2,3,0,
(V12) (585GC) Menominee,,605,602,,,99.50%,3,0.50%,596,,1,5,2,1,0,0,0,4,1,
(V12) (585GD) Ironwood,,331,326,,,98.49%,5,1.51%,319,,4,3,5,0,0,0,1,12,2,
(V12) (585HA) Marquette MI,,760,758,,,99.74%,2,0.26%,685,,45,28,2,0,0,0,3,2,1,
(V12) (585HB) Sault Saint Marie,,430,429,,,99.77%,1,0.23%,423,,6,0,1,0,0,0,0,4,0.10,
"(V12) (607) Madison, WI",,"25,069","24,425",,,97.43%,644,2.57%,"21,861",,"1,293","1,271",534,106,4,0,3,5,1,
"(V12) (607) William S. Middleton
Memorial Veterans Hospital",,"18,605","17,976",,,96.62%,629,3.38%,"15,995",,910,"1,071",520,105,4,0,3.90,6,2,
(V12) (607GC) Janesville,,"1,031","1,030",,,99.90%,1,0.10%,901,,75,54,1,0,0,0,4,1,1,
(V12) (607GD) Baraboo,,560,559,,,99.82%,1,0.18%,524,,28,7,1,0,0,0,2,0,0,
(V12) (607GE) Beaver Dam,,643,641,,,99.69%,2,0.31%,570,,45,26,2,0,0,0,4,0,0,
(V12) (607GF) Freeport,,457,456,,,99.78%,1,0.22%,443,,9,4,1,0,0,0,1,0,1,
(V12) (607HA) Rockford,,"3,773","3,763",,,99.73%,10,0.27%,"3,428",,226,109,9,1,0,0,2,3,2,
"(V12) (676) Tomah, WI",,"16,278","16,017",,,98.40%,261,1.60%,"14,520",,712,785,206,53,2,0,3,6,2,
(V12) (676) Tomah VAMC,,"10,808","10,680",,,98.82%,128,1.18%,"9,658",,483,539,105,23,0,0,4,4.90,1,
(V12) (676GA) Wausau,,"1,441","1,422",,,98.68%,19,1.32%,"1,346",,42,34,11,6,2,0,2,0,4,
(V12) (676GC) River Valley,,"1,936","1,930",,,99.69%,6,0.31%,"1,702",,104,124,6,0,0,0,3,4,2,
(V12) (676GD) Wisconsin Rapids,,"1,771","1,674",,,94.52%,97,5.48%,"1,546",,66,62,73,24,0,0,1,10,3,
(V12) (676GE) Clark County,,322,311,,,96.58%,11,3.42%,268,,17,26,11,0,0,0,6,0.00,0,
"(V12) (695) Milwaukee, WI",,"55,278","52,902",,,95.70%,"2,376",4.30%,"45,709",,"3,301","3,892","1,859",399,69,49,4,8,3,
"(V12) (695) Clement J Zablocki
VAMC",,"37,044","35,487",,,95.80%,"1,557",4.20%,"30,362",,"2,357","2,768","1,277",213,42,25,3,8,2.20,
(V12) (695BU) VADOM Milwaukee,,421,421,,,100.00%,0,0.00%,409,,11,1,0,0,0,0,,,,
(V12) (695BY) Appleton,,"6,225","5,919",,,95.08%,306,4.92%,"4,939",,422,558,273,25,6,2,7,9,7,
(V12) (695GA) Union Grove WI,,"1,261","1,258",,,99.76%,3,0.24%,"1,171",,49,38,2,1,0,0,2,9,1,
(V12) (695GC) Cleveland,,"1,278","1,251",,,97.89%,27,2.11%,"1,028",,89,134,24,2,1,0,7.40,3.50,7,
"(V12) (695GD) Milo C Huempfner VA
OPC",,"9,048","8,565",,,94.66%,483,5.34%,"7,799",,373,393,283,158,20,22,2,9,6,
(V12) (695QA) Milwaukee VA Clinic,,1,1,,,100.00%,0,0.00%,1,,0,0,0,0,0,0,,,,
"(V15) (589) Columbia, MO",,"23,371","22,807",,,97.59%,564,2.41%,"20,516",,"1,363",928,372,131,36,25,1.00,6.60,1,
"(V15) (589A4) Harry S. Truman
VAMC",,"17,968","17,412",,,96.91%,556,3.09%,"15,444",,"1,112",856,366,129,36,25,1,7,1.80,
"(V15) (589G8) Jefferson City, MO",,"1,204","1,197",,,99.42%,7,0.58%,"1,080",,91,26,5,2,0,0,1,5,0,
(V15) (589GE) Kirksville,,508,508,,,100.00%,0,0.00%,501,,6,1,0,0,0,0,0,,0,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2015",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
"(V15) (589GF) Fort Leonard Wood
VA Clinic",,"1,174","1,173",,,99.91%,1,0.09%,"1,057",,87,29,1,0,0,0,1,4,1,
(V15) (589GH) Lake of the Ozarks,,723,723,,,100.00%,0,0.00%,682,,34,7,0,0,0,0,1.50,0.00,1,
(V15) (589GX) Mexico,,450,450,,,100.00%,0,0.00%,421,,25,4,0,0,0,0,2,,2,
(V15) (589GY) St. James,,370,370,,,100.00%,0,0.00%,367,,3,0,0,0,0,0,0.40,,0.50,
(V15) (589JA) Sedalia,,545,545,,,100.00%,0,0.00%,539,,4,2,0,0,0,0,0,0.00,0,
(V15) (589JD) Marshfield,,420,420,,,100.00%,0,0.00%,416,,1,3,0,0,0,0,0,,1,
"(V15) (589ME) IDES Fort Leonard
Wood",,9,9,,,100.00%,0,0.00%,9,,0,0,0,0,0,0,,0.00,0.00,
"(V15) (589) Kansas City, MO",,"27,688","27,096",,,97.86%,592,2.14%,"24,785",,"1,152","1,159",387,136,54,15,2.60,4,3,
(V15) (589) Kansas City VAMC,,"24,630","24,040",,,97.60%,590,2.40%,"21,938",,"1,035","1,067",386,135,54,15,2.90,4.10,3,
(V15) (589G1) Warrensburg,,979,978,,,99.90%,1,0.10%,947,,24,7,1,0,0,0,1,1,3,
(V15) (589GB) Belton,,415,415,,,100.00%,0,0.00%,400,,5,10,0,0,0,0,1,0.00,1,
(V15) (589GC) Paola,,191,191,,,100.00%,0,0.00%,190,,1,0,0,0,0,0,0.10,,0,
(V15) (589GD) Nevada,,597,597,,,100.00%,0,0.00%,538,,28,31,0,0,0,0,3,0.00,2,
(V15) (589GZ) Cameron,,159,159,,,100.00%,0,0.00%,159,,0,0,0,0,0,0,0,0.00,0.00,
"(V15) (589HK) Kansas City VA
Mobile Clinic",,100,100,,,100.00%,0,0.00%,100,,0,0,0,0,0,0,0,,,
(V15) (589JB) Excelsior Springs,,606,605,,,99.83%,1,0.17%,502,,59,44,0,1,0,0,6,0,0,
(V15) (589MC) IDES Whiteman AFB,,11,11,,,100.00%,0,0.00%,11,,0,0,0,0,0,0,,0.00,0.00,
"(V15) (589) Eastern KS HCS, KS",,"28,449","27,481",,,96.60%,968,3.40%,"25,629",,928,924,613,198,116,41,4,7,1.70,
(V15) (589A5) Colmery-O'Neil VAMC,,"13,602","12,865",,,94.58%,737,5.42%,"11,813",,501,551,430,161,109,37,6,9.20,1,
"(V15) (589A6) Dwight D. Eisenhower
VAMC",,"10,339","10,181",,,98.47%,158,1.53%,"9,646",,260,275,144,9,2,3,1,4,2,
(V15) (589BU) Leavenworth DCHV,,"1,882","1,880",,,99.89%,2,0.11%,"1,798",,59,23,1,1,0,0,,0.00,1,
(V15) (589G9) Ft. Riley,,39,39,,,100.00%,0,0.00%,39,,0,0,0,0,0,0,,0.00,0.00,
(V15) (589GI) St. Joseph,,872,872,,,100.00%,0,0.00%,813,,32,27,0,0,0,0,1,0,0,
(V15) (589GJ) Wyandotte County,,380,380,,,100.00%,0,0.00%,329,,40,11,0,0,0,0,3,,3,
(V15) (589GM) Chanute,,65,47,,,72.31%,18,27.69%,40,,2,5,4,12,2,0,29.40,,4,
(V15) (589GN) Emporia,,62,59,,,95.16%,3,4.84%,48,,8,3,3,0,0,0,1.50,,15.00,
(V15) (589GP) Garnett,,42,30,,,71.43%,12,28.57%,20,,5,5,5,4,3,0,24.10,,25,
(V15) (589GR) Junction City,,543,541,,,99.63%,2,0.37%,534,,6,1,2,0,0,0,0,0.00,1,
(V15) (589GT) Seneca,,8,8,,,100.00%,0,0.00%,8,,0,0,0,0,0,0,0.00,,,
(V15) (589GU) Lawrence,,210,210,,,100.00%,0,0.00%,209,,1,0,0,0,0,0,0,0.00,0.00,
(V15) (589GV) Ft. Scott,,164,128,,,78.05%,36,21.95%,100,,9,19,24,11,0,1,21,,15,
(V15) (589JE) Platte City,,61,61,,,100.00%,0,0.00%,53,,4,4,0,0,0,0,4,,0.00,
(V15) (589MA) Ft. Riley DES Clinic,,136,136,,,100.00%,0,0.00%,135,,1,0,0,0,0,0,,0,0.00,
"(V15) (589MD) IDES Fort
Leavenworth",,44,44,,,100.00%,0,0.00%,44,,0,0,0,0,0,0,,0.00,0.00,
"(V15) (589) Wichita, KS",,"16,957","16,578",,,97.76%,379,2.24%,"14,821",,999,758,242,119,10,8,3,6,3,
(V15) (589A7) Robert J. Dole VAMC,,"14,623","14,249",,,97.44%,374,2.56%,"12,660",,877,712,237,119,10,8,3,7,4,
(V15) (589G2) Dodge City,,268,268,,,100.00%,0,0.00%,261,,5,2,0,0,0,0,1,1,0,
(V15) (589G3) Liberal,,66,66,,,100.00%,0,0.00%,62,,3,1,0,0,0,0,1,0.00,0.00,
(V15) (589G4) Hays,,371,371,,,100.00%,0,0.00%,337,,30,4,0,0,0,0,3,0,0.00,
(V15) (589G5) Parsons,,334,333,,,99.70%,1,0.30%,306,,18,9,1,0,0,0,3,0.00,0.00,
(V15) (589G7) Hutchinson,,591,591,,,100.00%,0,0.00%,529,,45,17,0,0,0,0,3,0,0,
(V15) (589GW) Salina,,695,691,,,99.42%,4,0.58%,658,,20,13,4,0,0,0,2,1,1,
(V15) (589MB) IDES McConnel AFB,,9,9,,,100.00%,0,0.00%,8,,1,0,0,0,0,0,,3,0.00,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2015",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
"(V15) (657) Marion, IL",,"22,558","21,406",,,94.89%,"1,152",5.11%,"17,896",,"1,638","1,872",767,312,66,7,5,9.00,4.20,
(V15) (657A5) Marion VAMC,,"10,478","10,018",,,95.61%,460,4.39%,"8,340",,782,896,317,125,16,2,4,8,2,
(V15) (657GJ) Evansville,,"6,552","6,082",,,92.83%,470,7.17%,"5,035",,492,555,321,100,44,5,4.10,10.50,6,
(V15) (657GK) Mt. Vernon,,618,507,,,82.04%,111,17.96%,430,,20,57,37,70,4,0,25,3,2,
(V15) (657GL) Paducah,,"1,159","1,119",,,96.55%,40,3.45%,950,,81,88,29,9,2,0,3.70,4,9,
(V15) (657GM) Effingham,,837,832,,,99.40%,5,0.60%,745,,47,40,5,0,0,0,2.30,3,5,
(V15) (657GO) Hanson,,169,168,,,99.41%,1,0.59%,131,,12,25,1,0,0,0,6,12,2.50,
(V15) (657GP) Owensboro,,"1,009","1,000",,,99.11%,9,0.89%,870,,61,69,9,0,0,0,4,5,2,
(V15) (657GQ) Vincennes,,264,253,,,95.83%,11,4.17%,228,,10,15,11,0,0,0,5,6,4,
(V15) (657GR) Mayfield,,531,505,,,95.10%,26,4.90%,419,,39,47,18,8,0,0,7.00,3,6,
(V15) (657GT) Carbondale,,604,597,,,98.84%,7,1.16%,473,,70,54,7,0,0,0,5,0,0.00,
(V15) (657GU) Harrisburg,,337,325,,,96.44%,12,3.56%,275,,24,26,12,0,0,0,6,5,0.00,
"(V15) (657) Poplar Bluff, MO",,"13,519","12,668",,,93.71%,851,6.29%,"10,851",,659,"1,158",634,172,30,15,8,10,7,
"(V15) (657A4) John J. Pershing
VAMC",,"7,958","7,477",,,93.96%,481,6.04%,"6,346",,404,727,345,101,25,10,9,10,5,
(V15) (657GF) West Plains,,"1,394","1,232",,,88.38%,162,11.62%,"1,087",,64,81,126,26,5,5,13,10,17.60,
(V15) (657GG) Paragould,,921,833,,,90.45%,88,9.55%,691,,31,111,70,18,0,0,11,,6,
(V15) (657GH) Cape Girardeau,,"1,306","1,262",,,96.63%,44,3.37%,"1,126",,74,62,40,4,0,0,3,6,10,
(V15) (657GI) Farmington,,"1,211","1,169",,,96.53%,42,3.47%,"1,004",,42,123,23,19,0,0,5,11,8,
(V15) (657GN) Salem,,35,34,,,97.14%,1,2.86%,19,,1,14,1,0,0,0,13,,,
(V15) (657GV) Sikeston,,694,661,,,95.24%,33,4.76%,578,,43,40,29,4,0,0,5,8,9,
"(V15) (657) St. Louis, MO",,"38,746","38,172",,,98.52%,574,1.48%,"32,037",,"3,324","2,811",517,55,1,1,6,5,4,
(V15) (657) John J. Cochran VAMC,,"24,480","24,130",,,98.57%,350,1.43%,"19,995",,"2,133","2,002",302,47,1,0,6.80,5,3,
(V15) (657A0) St Louis-Jeff Bks.,,"11,507","11,325",,,98.42%,182,1.58%,"9,758",,927,640,175,6,0,1,5,5,4,
(V15) (657GA) Belleville,,749,748,,,99.87%,1,0.13%,627,,84,37,0,1,0,0,4,2.20,1,
(V15) (657GB) St. Louis County,,756,739,,,97.75%,17,2.25%,587,,101,51,16,1,0,0,4,9,12,
(V15) (657GD) St. Charles,,925,904,,,97.73%,21,2.27%,764,,70,70,21,0,0,0,5,5,5,
(V15) (657GS) Washington,,317,314,,,99.05%,3,0.95%,294,,9,11,3,0,0,0,3,2.00,0,
(V15) (657MA) IDES Scott AFB,,12,12,,,100.00%,0,0.00%,12,,0,0,0,0,0,0,,0.00,0.00,
"(V16) (502) Alexandria, LA",,"19,837","17,747",,,89.46%,"2,090",10.54%,"15,178",,"1,162","1,407","1,448",329,124,189,19,11,4,
(V16) (502) Alexandria VAMC,,"14,227","12,973",,,91.19%,"1,254",8.81%,"11,496",,686,791,858,147,82,167,19,11,2,
(V16) (502GA) Jennings,,"1,226","1,209",,,98.61%,17,1.39%,"1,072",,75,62,15,2,0,0,3,1,4,
(V16) (502GB) Lafayette,,"2,692","2,213",,,82.21%,479,17.79%,"1,455",,300,458,386,80,10,3,18,14,10,
(V16) (502GF) Fort Polk,,"1,230",968,,,78.70%,262,21.30%,808,,84,76,115,96,32,19,40,2,3,
(V16) (502GG) Natchitoches,,462,384,,,83.12%,78,16.88%,347,,17,20,74,4,0,0,23,0.00,1,
"(V16) (520) Gulf Coast HCS, MS",,"48,501","46,676",,,96.24%,"1,825",3.76%,"40,765",,"2,704","3,207","1,427",369,27,2,7,7,4,
(V16) (520) Biloxi VAMC,,"22,685","21,944",,,96.73%,741,3.27%,"19,693",,"1,042","1,209",561,160,19,1,9,6,4,
(V16) (520BZ) Pensacola,,"15,427","14,784",,,95.83%,643,4.17%,"12,365",,"1,036","1,383",518,118,7,0,5.30,7,5,
(V16) (520GA) Mobile,,"5,528","5,355",,,96.87%,173,3.13%,"4,776",,285,294,127,46,0,0,5,5,3,
(V16) (520GB) Panama City Beach,,"2,453","2,228",,,90.83%,225,9.17%,"1,908",,121,199,185,38,1,1,14,23,1,
(V16) (520GC) Eglin AFB,,"2,408","2,365",,,98.21%,43,1.79%,"2,023",,220,122,36,7,0,0,3,3,6,
"(V16) (564) Fayetteville, AR",,"30,561","30,020",,,98.23%,541,1.77%,"26,662",,"1,517","1,841",426,97,17,1,2,5.60,2,
(V16) (564) Fayetteville VAMC,,"17,346","16,930",,,97.60%,416,2.40%,"14,715",,943,"1,272",308,90,17,1,2,6,4,
(V16) (564BY) Gene Taylor,,"6,389","6,324",,,98.98%,65,1.02%,"5,656",,321,347,59,6,0,0,2,5,0,
,,,,,,,,,,,,,,,,,,,,
"Completed Appointment Wait Times National,
Facility, and Division Level Summaries.
Wait Time Measured from Preferred Date
For the Reporting Period Ending: December
2015",,"Total Completed
Appointments 1","Completed within
30 Days 2",,,"Percent
Appts
Complete
d in 30
Days or
Less 3","Completed in
Over 30 Days 4","Percent
Appts
Complete
d in Over
30 Days 5","Completed 0-7 Days
6",,"Completed 8-14
Days 7","Completed 15-30
Days 8","Completed 31-60
Days 9","Completed 61-90
Days 10","Completed 91-120
Days 11","Completed in
more than 120
Days 12","PC Avg
Wait Time
in Days
13","SC Avg
Wait Time
in Days
14","MH Avg
Wait Time
in Days
15",
(V16) (564GA) Harrison,,348,348,,,100.00%,0,0.00%,330,,3,15,0,0,0,0,2,0.00,1,
(V16) (564GB) Fort Smith,,"3,241","3,211",,,99.07%,30,0.93%,"3,000",,133,78,30,0,0,0,2,6,2,
(V16) (564GC) Branson,,"2,517","2,489",,,98.89%,28,1.11%,"2,264",,99,126,27,1,0,0,1,4,2,
(V16) (564GD) Ozark,,239,239,,,100.00%,0,0.00%,236,,3,0,0,0,0,0,1,0.00,0.00,
(V16) (564GE) Jay,,481,479,,,99.58%,2,0.42%,461,,15,3,2,0,0,0,1,0.00,2,
"(V16) (580) Houston, TX",,"75,417","74,424",,,98.68%,993,1.32%,"67,849",,"3,427","3,148",825,147,20,1,3,3,3,
"(V16) (580) Michael E DeBakey
VAMC",,"52,199","51,385",,,98.44%,814,1.56%,"46,954",,"2,337","2,094",660,133,20,1,3,3,4,
"(V16) (580BU) Houston VA
Domiciliary",,3,3,,,100.00%,0,0.00%,3,,0,0,0,0,0,0,,0.00,,
(V16) (580BY) Beaumont,,"3,935","3,903",,,99.19%,32,0.81%,"3,651",,72,180,30,2,0,0,2,7,1,
"(V16) (580BZ) Charles Wilson VA
OPC",,"2,736","2,706",,,98.90%,30,1.10%,"2,288",,231,187,24,6,0,0,5.10,4,3,
(V16) (580GC) Galveston County,,"3,527","3,518",,,99.74%,9,0.26%,"3,369",,84,65,9,0,0,0,1,1,1,
(V16) (580GD) Conroe,,"3,352","3,323",,,99.13%,29,0.87%,"2,986",,177,160,28,1,0,0,3,1,3,
(V16) (580GE) Katy,,"3,140","3,107",,,98.95%,33,1.05%,"2,810",,152,145,31,2,0,0,3,3,1,
(V16) (580GF) Lake Jackson,,999,995,,,99.60%,4,0.40%,817,,101,77,3,1,0,0,4,0.00,5,
(V16) (580GG) Richmond,,"2,189","2,187",,,99.91%,2,0.09%,"2,060",,84,43,2,0,0,0,1,2,1,
(V16) (580GH) Tomball,,"3,337","3,297",,,98.80%,40,1.20%,"2,911",,189,197,38,2,0,0,4,2,3,
"(V16) (586) Jackson, MS",,"28,181","27,474",,,97.49%,707,2.51%,"25,329",,"1,194",951,511,175,20,1,4,4,1,
"(V16) (586) G. V. (Sonny)
Montgomery VAMC",,"23,840","23,172",,,97.20%,668,2.80%,"21,539",,848,785,479,168,20,1,5,4,1,
(V16) (586GA) Durant (Kosciusko),,444,444,,,100.00%,0,0.00%,336,,87,21,0,0,0,0,4,,7,
(V16) (586GB) Meridian,,781,774,,,99.10%,7,0.90%,624,,109,41,7,0,0,0,4,0.00,1,
(V16) (586GC) Greenville,,388,388,,,100.00%,0,0.00%,337,,39,12,0,0,0,0,3,0.00,0.00,
(V16) (586GD) Hattiesburg,,"1,374","1,342",,,97.67%,32,2.33%,"1,290",,22,30,25,7,0,0,3,0.00,0,
"(V16) (586GE) Natchez (Adams
County)",,342,342,,,100.00%,0,0.00%,286,,36,20,0,0,0,0,4,,0.00,
(V16) (586GF) Columbus,,531,531,,,100.00%,0,0.00%,502,,23,6,0,0,0,0,1.40,0.00,0.20,
(V16) (586GG) McComb,,481,481,,,100.00%,0,0.00%,415,,30,36,0,0,0,0,3,0.00,0.00,
"(V16) (598) Little Rock, AR",,"43,690","42,435",,,97.13%,"1,255",2.87%,"37,515",,"2,621","2,299","1,052",133,53,17,5,6,2,
"(V16) (598) John L McClellan
Memorial Veterans Hospital",,"17,028","16,534",,,97.10%,494,2.90%,"14,463",,"1,032","1,039",442,49,1,2,6,5.40,0.00,
"(V16) (598A0) Central AR. Veterans
HCS NLR",,"18,704","18,112",,,96.83%,592,3.17%,"16,294",,974,844,447,79,51,15,5,7,1,
(V16) (598GA) Mountain Home,,922,922,,,100.00%,0,0.00%,796,,104,22,0,0,0,0,2.60,0.00,3,
(V16) (598GB) El Dorado,,775,761,,,98.19%,14,1.81%,634,,76,51,14,0,0,0,6,0.00,5,
(V16) (598GC) Hot Springs,,"1,648","1,640",,,99.51%,8,0.49%,"1,488",,107,45,8,0,0,0,2,2,1,
(V16) (598GD) Mena,,449,449,,,100.00%,0,0.00%,444,,5,0,0,0,0,0,0,0.00,1,
